"","Hela-C-1","Hela-C-2","Hela-C-3","Hela-C-4","Hela-d-1","Hela-d-2","Hela-d-3","Hela-d-4"
"ITGA3",365.036696626669,376.528535026407,413.332856290097,430.647838572433,375.764355282307,364.802148073562,436.107321509777,335.293097189807
"ZFX",690.216700207445,678.320782382166,603.522462145678,609.915952907749,571.595394285202,537.481337453561,475.670759436107,529.665907154912
"ITGA2B",6.32645921363377,5.69419334633507,10.3568597248088,6.06546251510469,5.05836632110799,5.55536266101871,5.91177808094588,3.8874561993021
"CRLF1",18.9793776409013,20.6414508804646,36.7197753879585,31.0012528549795,20.2334652844319,28.2397601935118,24.5566166439291,23.8106692207254
"OSBPL7",56.938132922704,62.6361268096858,48.9597005172781,76.8291918579927,47.6931681704467,51.8500515028413,49.5679854479309,36.4449018684572
"SPATA20",139.182102699943,177.943542072971,145.937568849579,180.615994894228,151.75098963324,143.976482298068,149.158708503865,131.687578751359
"TNFRSF12A",137.284164935853,130.966446965707,149.7036996586,165.115368466739,139.466385710549,114.347881439302,158.253751705321,129.743850651708
"RALA",187.26319272356,196.44967044856,180.774278833027,169.832950422931,367.092870160408,330.081131442195,313.778990450205,363.963086659659
"KDM7A",51.8769655517969,51.9595142853076,50.8427659217888,51.8934015181179,54.9194057720295,53.7018390565142,52.7512505684402,51.9947266656656
"ALDH3B1",432.72981021255,423.505630133671,464.175622211886,498.04186651804,378.654850322941,395.356642709165,462.482946793997,369.3083389337
"USH1C",246.731909331717,252.679829743619,315.413455255541,367.297452303562,135.853266909757,214.807356226057,202.364711232378,224.986527534609
"GGCT",262.548057365802,286.844989821629,261.746091226987,230.487575573978,235.5753458116,209.251993565038,207.366984993179,247.825332705509
"TBXA2R",31.6322960681689,44.1299984340968,48.0181678150227,49.8715806797496,31.7954454469645,30.0915477471847,49.5679854479309,40.8182900926721
"ARHGAP44",24.6731909331717,30.606289236551,30.1290464721711,31.6751931344356,19.5108415242737,23.6102913093295,21.3733515234197,15.0638927722957
"SCIN",1265.29184272675,1284.75237376685,1261.65382102217,1173.33002653303,716.120146316859,682.383713528465,686.675761709868,765.342939237602
"ARSD",8.2243969777239,11.3883866926701,9.41532702255347,5.39152223564861,5.78099008126627,7.87009710310985,7.27603456116417,4.85932024912763
"PNPLA4",73.3869268781518,75.4480618389398,75.3226161804278,65.3722071072394,62.8682671337707,62.0348830480423,57.7535243292406,49.5650665411018
"PRSS21",347.955256749857,323.857246572807,366.25622117733,440.083002484818,280.378018941414,308.785574574957,341.06412005457,285.242098623792
"MARK4",36.0608175177125,29.8945150682591,39.5443734947246,39.7624764879085,30.3501979266479,45.8317419534044,41.3824465666212,35.4730378186317
"GAS7",16.4487939554478,13.5237091975458,16.9475886405963,18.1963875453141,13.0072276828491,4.62946888418226,6.36653024101865,8.74677644842973
"TRAPPC6A",8.2243969777239,5.69419334633507,14.1229905338302,8.08728335347291,3.61311880079142,9.72188465678275,11.368804001819,5.34525227404039
"MATK",80.9786779345123,83.2775776901505,72.4980180736618,99.0692210800432,52.0289107313964,60.1830954943694,78.2173715325148,59.7696390642699
"ST7L",92.9989504404165,83.9893518584423,102.627064545833,68.7419085045198,67.2040096947204,76.3862365890073,65.9390632105502,86.0099684095591
"PAX6",44.9178604167998,49.8241917804319,40.4859061969799,47.1758195619253,28.9049504063313,36.5728041850399,35.4706684856753,37.4167659182828
"RHBDF1",8.2243969777239,17.7943542072971,21.655252151873,15.5006264274898,18.0655940039571,12.4995659872921,17.2805820827649,13.1201646726446
"PIGQ",101.855993339504,118.866286104745,98.8609337368115,136.135936450127,98.2768313815266,105.088943670937,133.242382901319,101.559793206767
"TEAD3",63.2645921363377,76.8716101755235,68.7318872646404,81.5467738141852,64.3135146540872,60.1830954943694,68.2128240109141,62.6852312137464
"MYLIP",27.2037746186252,41.2829017609293,43.310504303746,35.044894531716,29.6275741664896,37.4986979618763,38.1991814461119,39.3604940179338
"E2F2",123.365954665859,113.17209275841,123.340783995451,132.092294773391,83.1017324182026,69.9049801511522,96.4074579354252,63.657095263572
"CDKL5",38.591401203166,25.6238700585078,22.5967848541283,32.3491334138917,33.240692967281,34.2580697429487,31.3778990450205,31.5855816193296
"CDK11A",5.6938132922704,4.98241917804319,7.53226161804278,6.73940279456076,8.6714851218994,3.70357510734581,5.91177808094588,7.28898037369145
"DLEC1",24.0405450118083,15.6590317024215,21.655252151873,22.2400292220505,20.2334652844319,21.2955568672384,23.1923601637108,21.3810090961616
"ADAM22",86.6724912267827,104.630802738907,72.4980180736618,79.524952975817,47.6931681704467,48.1464763954955,37.2896771259663,46.1635423667125
"SPAG9",501.055569719795,592.196108018848,520.667584347207,502.759448474233,559.310790362512,539.796071895652,516.143701682583,533.553363354214
"MPND",24.6731909331717,35.5887084145942,32.0121118766818,41.7842973262767,20.2334652844319,23.6102913093295,28.1946339245111,34.0152417438934
"MGST1",906.58160531372,912.494483750196,767.349152338108,686.745144765742,810.061235137436,789.787391641494,681.218735788995,781.864628084636
"NFIX",56.3054870013406,57.6537076316426,62.1411583488529,53.24128207703,76.598118576778,68.9790863743157,93.2241928149159,78.7209880358676
"ST3GAL1",148.671791520394,111.036770253534,129.931512911238,133.440175332303,85.9922274588357,83.793386803699,84.1291496134607,96.2145409327271
"MMP25",5.06116737090702,4.98241917804319,6.59072891578743,2.02182083836823,15.8977227234822,14.351353540965,19.5543428831287,17.0076208719467
"IL32",5.06116737090702,7.11774168291884,9.41532702255347,8.08728335347291,55.6420295321878,93.0523245720635,69.5770804911323,74.8335318365655
"PKD1",144.875915992213,177.231767904679,177.008148024005,227.117874176698,163.312969795772,160.642570281125,208.276489313324,154.040451897346
"RHOBTB2",294.812999355334,246.273862228992,270.219885547285,341.013781404775,172.70707867783,190.271171139891,220.100045475216,186.597897566501
"RPS20",1262.7612590413,1222.82802112546,1327.56111018004,1086.39173048319,1109.22747184297,1154.58953971506,1090.95043201455,1105.98128870145
"FAM76A",27.2037746186252,27.7591925633835,30.1290464721711,27.6315514576991,36.1311880079142,27.7768133050936,23.1923601637108,31.0996495944168
"TRAF3IP3",6.32645921363377,8.54129001950261,1.88306540451069,4.04364167673646,7.94886136174112,1.8517875536729,2.72851296043656,4.85932024912763
"POMT2",156.896188498118,150.89612367788,171.358951810473,163.09354762837,102.612573942476,117.125562769811,103.683492496589,99.6160651071164
"RANBP9",405.526035593925,396.45821173858,365.314688475075,341.013781404775,293.385246624263,309.248521463375,294.679399727149,312.940224043819
"DYRK4",17.0814398768112,19.9296767121728,18.8306540451069,28.3054917371552,42.6348018493387,39.3504855155492,29.1041382446567,28.669989469853
"CD9",258.119535916258,289.692086494797,318.238053362307,279.011275694816,210.283514206061,219.436825110239,227.830832196453,245.881604605858
"PHF7",10.7549806631774,9.2530641877945,15.0645232360856,8.76122363292899,5.78099008126627,11.1107253220374,10.0045475216007,9.71864049825526
"STAB1",20.8773154049914,19.2179025438809,22.5967848541283,32.3491334138917,14.4524752031657,9.72188465678275,18.6448385629832,12.6342326477318
"FUZ",15.8161480340844,11.3883866926701,17.8891213428516,14.8266861480337,11.5619801625325,10.184831545201,14.5520691223283,8.74677644842973
"HFE",172.079690610839,147.33725283642,146.879101551834,132.092294773391,100.444702662001,101.385368563592,82.7648931332424,98.6442010572909
"FYN",112.610974002681,129.542898629123,142.171438040557,137.48381700904,118.510296665958,135.180491418122,137.789904502046,175.90739301842
"MRC2",401.730160065745,429.199823480006,507.486126515632,660.461473866955,376.486979042466,423.596402902677,505.229649840837,465.036947841514
"TSPAN9",18.3467317195379,15.6590317024215,11.2983924270642,12.8048653096655,9.39410888205769,14.8143004293832,10.0045475216007,15.0638927722957
"DPF1",8.85704289908728,9.96483835608638,7.53226161804278,6.73940279456076,1.44524752031657,3.24062821892758,5.45702592087312,5.83118429895316
"SYT7",42.3872767313463,50.5359659487238,44.2520370060013,66.7200876661516,34.6859404875976,45.3687950649862,36.8349249658936,35.9589698435445
"PLAUR",83.5092616199658,108.901447748658,101.685531843578,105.134683595148,121.400791706592,181.012233371526,175.989085948158,152.582655822608
"DCN",30.3670042254421,25.6238700585078,22.5967848541283,18.1963875453141,13.0072276828491,15.2772473178015,13.6425648021828,9.2327084733425
"PPP5C",211.936383656731,222.073540507068,243.856969884135,276.315514576991,182.101187559887,171.753295603162,227.37608003638,174.935528968595
"CEP68",65.1625299004279,64.7714493145615,82.8548777984706,63.3503862688712,56.3646532923461,42.5911137344768,47.2942246475671,44.2198142670614
"TMEM159",34.1628797536224,41.9946759292212,36.7197753879585,32.3491334138917,19.5108415242737,26.3879726398389,20.0090950432015,20.8950770712488
"CD22",13.9182102699943,13.5237091975458,13.1814578315749,15.5006264274898,9.39410888205769,2.31473444209113,9.54979536152797,5.34525227404039
"MBTPS2",442.852144954364,396.45821173858,340.834838216436,316.0779910649,367.092870160408,342.580697429487,287.858117326057,325.574456691551
"ELOVL5",609.870668194296,642.732073967572,662.839022387765,576.892879214401,647.470889101822,574.054141638601,566.166439290587,602.069778866913
"CALCOCO1",144.24327007085,150.184349509588,169.475886405963,171.854771261299,176.320197478621,185.641702255709,161.891768985903,169.104344669642
"MAN2B2",64.5298839790645,77.5833843438154,42.3689716014906,59.9806848715908,63.590890893929,58.7942548291147,65.9390632105502,53.9384547653167
"MVP",173.977628374929,193.602573775393,199.604932878134,209.59542691084,562.923909163303,641.181440459243,656.207366984993,579.716905720926
"NUB1",327.077941344866,277.591925633835,274.927549058561,264.858529826238,689.383067191002,697.660960846267,689.404274670305,690.509407401036
"CLK1",236.609574589903,147.33725283642,246.681567990901,180.615994894228,247.137325974133,149.994791847505,175.534333788085,220.613139310394
"RNF14",89.8357208335996,93.2424160462369,81.9133450962152,91.6558780060264,78.0433660970946,63.8866706017152,55.9345156889495,62.1992991888337
"DNASE1L1",5.6938132922704,7.82951585121073,5.64919621353208,6.06546251510469,6.50361384142455,6.48125643785517,5.45702592087312,4.85932024912763
"DDX11",178.406149824472,190.755477102225,201.487998282644,202.856024116279,171.261831157513,148.143004293832,180.536607548886,141.892151274527
"HEBP1",120.835370980405,101.783706065739,109.21779346162,111.200146110253,84.5469799385192,71.7567677048251,78.6721236925875,72.8898037369145
"GPRC5A",1153.9461605668,1028.51367318177,1086.52873840267,1033.15044840616,982.045690055107,850.8963809127,991.81446111869,841.148335123993
"UFL1",170.181752846748,175.096445399804,138.405307231536,115.243787786989,157.531979714506,144.439429186487,105.047748976808,125.856394452406
"ZMYND11",285.955956456246,295.386279841132,238.207773670603,243.292440883644,208.838266685744,186.567596032545,179.172351068668,218.669411210743
"BID",129.692413879492,128.831124460831,120.516185888684,111.200146110253,98.2768313815266,80.0898116963531,100.954979536153,78.7209880358676
"XYLT2",70.2236972713349,80.4304810169829,93.2117375232794,107.156504433516,77.3207423369363,91.6634839068088,90.4956798544793,84.5521723348208
"CYP24A1",6.32645921363377,7.82951585121073,9.41532702255347,4.71758195619253,18.0655940039571,20.369663090402,15.9163256025466,15.5498247972084
"PRDM11",47.4484441022533,51.2477401170157,61.1996256465976,56.6109834743104,41.9121780891804,37.4986979618763,40.4729422464757,46.1635423667125
"SNAI2",101.22334741814,121.713382777912,117.691587781918,111.200146110253,47.6931681704467,65.7384581553881,53.6607548885857,55.396250840055
"CD74",0,0.711774168291884,0,0.673940279456076,685.047324630053,736.08555258498,693.49704411096,626.852312137464
"NCDN",139.182102699943,129.542898629123,126.165382102217,181.963875453141,113.451930344851,113.884934550884,135.516143701683,137.032831025399
"GPR124",46.1831522595265,59.7890301365183,74.3810834781724,80.1988932552731,57.0872770525044,68.9790863743157,77.762619372442,61.7133671639209
"SAMD4A",25.3058368545351,20.6414508804646,9.41532702255347,18.1963875453141,65.7587621744038,51.8500515028413,42.2919508867667,49.0791345161891
"RUNX3",23.407899090445,24.2003217219241,32.9536445789372,18.1963875453141,39.7443068087056,28.2397601935118,47.7489768076398,31.5855816193296
"OSBPL5",103.12128518223,115.307415263285,92.270204821024,149.614742039249,86.714851218994,87.959908799463,110.959527057754,87.4677644842973
"CPS1",8090.90868831623,8356.22873574672,8407.88703114025,8038.75965335208,7010.89572105567,6860.87288635811,6715.32514779445,6982.35726597149
"FHL1",350.485840435311,349.481116631315,386.969940626948,347.753184199335,161.145098515297,143.51353540965,147.339699863574,163.759092395601
"SLC45A4",49.3463818663434,55.518385126767,55.5504294330655,78.8510126963609,59.2551483329792,66.2014050438064,75.0341064120055,62.6852312137464
"ZDHHC6",266.343932893982,256.95047475337,223.143250434517,223.074232499961,225.458613169384,203.69663090402,199.181446111869,219.641275260569
