"","diseases","controls"
"GSM388076",0,1
"GSM388078",0,1
"GSM388080",0,1
"GSM388082",0,1
"GSM388083",0,1
"GSM388084",0,1
"GSM388085",0,1
"GSM388086",0,1
"GSM388087",0,1
"GSM388088",0,1
"GSM388089",0,1
"GSM388090",0,1
"GSM388091",0,1
"GSM388092",0,1
"GSM388093",0,1
"GSM388094",0,1
"GSM388095",0,1
"GSM388096",0,1
"GSM388097",0,1
"GSM388098",0,1
"GSM388099",0,1
"GSM388100",0,1
"GSM388101",0,1
"GSM388102",0,1
"GSM388103",0,1
"GSM388104",0,1
"GSM388105",0,1
"GSM388106",0,1
"GSM388107",0,1
"GSM388108",0,1
"GSM388109",0,1
"GSM388110",0,1
"GSM388112",0,1
"GSM388113",0,1
"GSM388114",0,1
"GSM388115",1,0
"GSM388117",1,0
"GSM388119",1,0
"GSM388121",1,0
"GSM388122",1,0
"GSM388123",1,0
"GSM388124",1,0
"GSM388125",1,0
"GSM388126",1,0
"GSM388127",1,0
"GSM388128",1,0
"GSM388129",1,0
"GSM388130",1,0
"GSM388131",1,0
"GSM388132",1,0
"GSM388133",1,0
"GSM388134",1,0
"GSM388135",1,0
"GSM388136",1,0
"GSM388137",1,0
"GSM388138",1,0
"GSM388139",1,0
"GSM388140",1,0
"GSM388141",1,0
"GSM388142",1,0
"GSM388143",1,0
"GSM388144",1,0
"GSM388145",1,0
"GSM388146",1,0
"GSM388147",1,0
"GSM388148",1,0
"GSM388149",1,0
"GSM388151",1,0
"GSM388152",1,0
"GSM388153",1,0
