"","GSM372721","GSM372722","GSM372723","GSM372724","GSM372725","GSM372726","GSM372727","GSM372728","GSM372729","GSM372730","GSM372701","GSM372702","GSM372703","GSM372704","GSM372705","GSM372706","GSM372707","GSM372708","GSM372709","GSM372710"
"CYTOR",50.6033374592374,53.2104223045945,47.1742014115875,44.3622639424075,33.7525404249944,59.8266205582095,62.9743510631513,66.062136026001,32.2579452376328,29.6494895200549,50.3313923424714,62.9504473673389,36.5801118065445,58.4193092669519,47.5159863889559,60.6021383065331,30.1211195464394,59.1365668419745,46.3544896204326,54.379388150972
"ADAM32",3.64452933261762,13.6401958575159,19.8959927189538,15.2139625212154,12.0007365642757,12.7140449361233,17.9087135735987,7.79305855278838,27.7682914242652,1.32233156893092,11.1279429342393,9.56183828403662,15.6244448038379,16.8692758217047,2.73885585699885,19.0128028620946,17.2500980595051,2.18205224647645,9.59484284586556,14.0969478609319
"TIMD4",27.4383227144861,8.53016913417436,23.1813043670303,22.9727199840837,17.9602727279778,27.5339855677221,15.5146235082073,32.1831462739778,12.5530807568857,17.0899975579704,34.63585468436,26.342629283647,18.7899347170813,27.2959163050159,12.9265916021926,7.59799042338568,15.6502714555574,12.5978064549917,23.946740036749,29.1473451151509
"ATP6V1E2",94.1367982516109,132.039699982733,124.452531433439,112.230554042627,83.5757325454396,135.77690938727,97.8691352652316,123.984753374421,91.4890089514039,84.6406737742602,74.7043447569937,73.5992214927286,78.8454807370588,84.3376813277425,107.22038479364,51.5335977238105,94.4245076137612,79.2980807979031,78.5674730157394,97.7524159476086
"AFG3L1P",342.094966544142,328.723385910758,303.72517457281,338.154331082765,278.741785997417,250.103977371161,412.700608494718,381.116983755329,309.599464857408,330.273465423397,260.302286757094,273.955471600841,310.941400299818,312.356505702183,253.61968390612,332.469324288003,262.456010282907,248.323936671653,266.425748507624,337.618741858866
"BEST4",20.8395626559149,3.06404650661202,15.9360738543156,4.60272136793513,12.3695702901316,2.08248538972156,25.0772776608858,21.9480936727066,4.42966439321444,1.51163488348109,2.42032584700469,11.2726659537122,15.8982234382417,13.5710915069322,17.1978297494711,9.06225107965963,19.9164888060615,15.8799420207039,3.86955374589905,8.09017498791351
"CORO6",41.5067836795428,48.6204483924248,63.6143586915725,64.6027017926242,41.0052374455848,54.3205374482003,55.165327533873,74.6595815356826,60.0998688283628,26.4505336732586,34.4333858715264,41.3067122229376,51.0733014221214,35.7407045801464,43.525390593606,57.7904095517831,45.5815215034939,47.6381923638261,28.8662470947351,45.9892018558846
"RAX2",37.5281286196066,96.9157245844817,72.093555382448,72.5638531939953,78.3870488229334,114.121883036282,84.4503669067693,51.6417570081163,66.4315780548678,6.38324562029924,52.1168258045518,61.0121181934974,39.7155041689573,74.1878005501958,41.5100842160992,61.6569824075655,89.0269365816517,93.2378596263624,65.9543811795187,20.133801658964
"CATSPER1",26.2060079966365,7.94172637027539,6.31483383791686,7.14477649202114,6.25142786146559,6.60026398142976,6.731427336036,5.91109854457641,9.65613518733313,8.26730250066636,6.03701286139193,25.8400131290737,19.3270144093238,17.7673849980175,6.05167135690233,22.4328683327958,3.84903247999621,13.5583128086462,47.3014016958048,4.42966439321444
"GSC",1.18185480984167,1.68430646971761,1.18697441932202,1.43906848776042,1.77165778183097,1.09375528637703,1.4076591506264,1.26331292478806,1.96453347366218,1.48779436511805,1.31424539207965,1.26743948805451,1.02947349712058,1.33629808257069,1.48901610546183,1.30705825899376,1.37926012240075,1.51758198158892,1.33596480673534,1.20933731668604
