"","diseases","controls"
"GSM237984",0,1
"GSM237985",0,1
"GSM237986",0,1
"GSM237987",0,1
"GSM237988",0,1
"GSM237989",0,1
"GSM237990",0,1
"GSM237991",0,1
"GSM237992",0,1
"GSM237993",0,1
"GSM237994",0,1
"GSM237995",0,1
"GSM237914",1,0
"GSM237915",1,0
"GSM237916",1,0
"GSM237917",1,0
"GSM237918",1,0
"GSM237919",1,0
"GSM237920",1,0
"GSM237921",1,0
"GSM237922",1,0
"GSM237923",1,0
"GSM237924",1,0
"GSM237925",1,0
"GSM237926",1,0
"GSM237927",1,0
"GSM237928",1,0
"GSM237929",1,0
"GSM237930",1,0
"GSM237931",1,0
"GSM237932",1,0
"GSM237933",1,0
"GSM237934",1,0
"GSM237935",1,0
"GSM237936",1,0
"GSM237937",1,0
"GSM237938",1,0
"GSM237939",1,0
"GSM237940",1,0
"GSM237941",1,0
"GSM237942",1,0
"GSM237943",1,0
"GSM237944",1,0
"GSM237945",1,0
"GSM237946",1,0
"GSM237947",1,0
"GSM237948",1,0
"GSM237949",1,0
"GSM237950",1,0
"GSM237951",1,0
"GSM237952",1,0
"GSM237953",1,0
"GSM237954",1,0
"GSM237955",1,0
"GSM237956",1,0
"GSM237957",1,0
"GSM237958",1,0
"GSM237959",1,0
"GSM237960",1,0
"GSM237961",1,0
"GSM237962",1,0
"GSM237963",1,0
"GSM237964",1,0
"GSM237965",1,0
"GSM237966",1,0
"GSM237967",1,0
"GSM237968",1,0
"GSM237969",1,0
"GSM237970",1,0
"GSM237971",1,0
"GSM237972",1,0
"GSM237973",1,0
"GSM237974",1,0
"GSM237975",1,0
"GSM237976",1,0
"GSM237977",1,0
"GSM237978",1,0
"GSM237979",1,0
"GSM237980",1,0
"GSM237981",1,0
"GSM237982",1,0
"GSM237983",1,0
