"","diseases","controls"
"GSM588863",0,1
"GSM588864",0,1
"GSM588865",0,1
"GSM588867",0,1
"GSM588868",0,1
"GSM588871",0,1
"GSM588873",0,1
"GSM588874",0,1
"GSM588875",0,1
"GSM588876",0,1
"GSM588877",0,1
"GSM588878",0,1
"GSM588879",0,1
"GSM588880",0,1
"GSM588881",0,1
"GSM588882",0,1
"GSM588884",0,1
"GSM588885",0,1
"GSM588886",0,1
"GSM588828",1,0
"GSM588829",1,0
"GSM588831",1,0
"GSM588832",1,0
"GSM588833",1,0
"GSM588835",1,0
"GSM588838",1,0
"GSM588839",1,0
"GSM588840",1,0
"GSM588841",1,0
"GSM588842",1,0
"GSM588843",1,0
"GSM588844",1,0
"GSM588845",1,0
"GSM588846",1,0
"GSM588847",1,0
"GSM588849",1,0
"GSM588850",1,0
"GSM588852",1,0
