"","diseases","controls"
"GSM160402",0,1
"GSM160407",0,1
"GSM160409",0,1
"GSM160411",0,1
"GSM160415",0,1
"GSM160423",0,1
"GSM160425",0,1
"GSM160426",0,1
"GSM160372",1,0
"GSM160386",1,0
"GSM160387",1,0
"GSM160403",1,0
"GSM160408",1,0
"GSM160410",1,0
"GSM160412",1,0
"GSM160416",1,0
