"","GSM93938","GSM93939","GSM93941","GSM93943","GSM93944","GSM93946","GSM93948","GSM93950","GSM93952","GSM93954","GSM93789","GSM93920","GSM93921","GSM93922","GSM93923","GSM93924","GSM93925","GSM93926","GSM93927","GSM93928","GSM93929","GSM93932"
"PAX8",116.819673915111,82.8489409665782,68.6853596387223,87.0683844939811,105.08812894878,100.341570442445,93.4260610611252,86.3406587932408,99.4730713243627,93.0249012109845,67.103554400467,114.723069781465,77.920142939269,73.1626214833724,72.996037161637,56.9952238392963,59.0172862187131,59.8189391871944,72.7926920175436,95.2148421209412,81.7704958033264,76.1235962763034
"CYTOR",5.06852636705516,5.18616551975846,4.44962095460601,4.50914650815233,4.71050572405407,3.82007293096281,4.725244384879,4.85139563126008,4.62401916936856,4.51997195900361,5.07713927661012,4.86857967850147,4.47048756793941,5.46798355164831,4.59573646390679,4.25678750896554,4.7202140429776,4.69674218464691,5.59810317281893,4.85797075099516,4.30484437739731,5.50494455020108
"ADAM32",6.61946421234249,6.23873395034201,8.44952814537031,8.19121594903456,6.75527809305816,7.32397867202815,6.97144503186084,6.03269956467541,6.34537324473492,6.88630068363495,8.07750622830323,5.05084583047677,8.01589772957443,6.80032349804449,6.5046490242675,7.6802403299547,6.21173052305797,7.54576758901593,6.54483679106752,4.83297090884616,5.58383660418548,7.01098239807888
"PRR22",14.5130558091043,16.6096515171433,13.22094968522,12.0399116600952,12.8013757933512,10.8952459465103,12.6178075584277,13.1680700452521,11.6898601637054,11.4581230340799,17.2244993353572,13.6055675037608,12.4301288299699,11.4581230340799,10.4094977605343,10.2590051765536,9.68555857210298,10.6187518481833,13.331962944075,14.7157192616957,12.8445317839377,14.4419741005062
"TIMD4",6.09227526124554,5.73067793571626,6.04113293692129,6.28690415330348,6.67857556765925,6.29744486138756,5.08793116347739,8.57131266803489,7.90940299172148,7.32567174510274,14.3465044265725,4.98566453825453,5.4624757455441,8.47371507125693,6.02851124271422,8.64685227170354,6.59715944719606,10.3653802752681,8.85974268842645,5.50017875058474,6.06381632228139,5.70039645157128
"SLC39A5",253.258080639187,211.812379358709,125.702333821833,140.520515640014,152.951292098214,220.111424730923,139.077493768875,212.270515640014,135.47506109456,96.6543446747233,59.353648071537,135.465567263453,121.142988548083,71.9753194429958,69.2857036504127,56.0317350297024,48.8392861287953,28.3843074675986,77.1736132799535,292.783101164658,104.180054102522,137.523040470844
"ATP6V1E2",8.09596814976383,7.61753300919493,5.03060783282745,7.78720090999547,7.78255844287776,9.68828138914849,6.07953684225217,7.33304888058599,7.01181909661825,8.2438544069929,11.4754577238366,8.13932270680448,6.23403341624283,6.63774135155636,5.92471884274754,8.26802368352847,6.9827316659427,7.3470351253851,7.55480472259379,7.4501956794652,7.78113144971034,7.54387061348524
"BEST4",64.6613508775947,124.240958480666,70.3105307280908,45.259875122043,115.176891423473,82.8521135699945,128.394224485087,65.8831710213808,174.384152003651,69.4933225848897,7.89746888842376,138.829913028311,93.1944813846622,49.4277036315148,51.0698023945597,19.3830715754669,5.47857858614208,44.5877613975977,45.0426858321092,139.647874491648,156.834175188073,192.230083608607
"CORO6",8.42553176951725,10.6472150153413,10.3331787970047,8.91143090955844,9.11341381321055,8.34275702111207,10.6233172205469,9.98778594608962,11.1044504345602,9.63263917178132,11.4038812001016,12.4077690873593,10.2071230464768,14.2726604437865,8.18705393733301,12.2732761610071,15.2652167161817,16.0835040385955,11.0646708046879,10.4854827185204,12.2279860318855,8.50570815453054
"RAX2",34.1241098890919,45.566328679465,31.1425310171937,28.1769385005667,28.1198780770195,39.0200688280521,29.0255752951427,32.8423096264067,41.2840377356692,28.7633047253835,44.9636820981146,28.7879196650872,39.404569666893,43.1146764700306,31.5893569241043,42.1350189288214,35.2352356602783,35.8488332916522,36.6156758256652,30.6312355826831,43.9209196722841,38.366590106349
"CATSPER1",7.99836980895827,8.44633813387355,7.75647852144648,6.9827316659427,6.91062982320724,6.6432593933754,7.28168196602191,9.10190662712295,5.97893826674431,7.97049691613283,8.11910223353043,8.23826018020988,7.49662354318136,7.57990821764219,5.98834541299416,7.59400519685183,7.1647247352685,6.95614433626661,8.23068856233571,6.83633153354078,8.05236151752468,7.39297469990884
