"","diseases","controls"
"GSM811029",0,1
"GSM811030",0,1
"GSM811031",0,1
"GSM811032",0,1
"GSM811033",0,1
"GSM811034",0,1
"GSM811035",0,1
"GSM811004",1,0
"GSM811005",1,0
"GSM811006",1,0
"GSM811007",1,0
"GSM811008",1,0
"GSM811009",1,0
"GSM811010",1,0
"GSM811011",1,0
"GSM811012",1,0
"GSM811013",1,0
"GSM811014",1,0
"GSM811015",1,0
"GSM811016",1,0
"GSM811017",1,0
"GSM811018",1,0
"GSM811019",1,0
"GSM811020",1,0
"GSM811021",1,0
"GSM811022",1,0
"GSM811023",1,0
"GSM811024",1,0
"GSM811025",1,0
"GSM811026",1,0
"GSM811027",1,0
"GSM811028",1,0
