"","GSM160402","GSM160407","GSM160409","GSM160411","GSM160415","GSM160423","GSM160425","GSM160426","GSM160372","GSM160386","GSM160387","GSM160403","GSM160408","GSM160410","GSM160412","GSM160416"
"STARD7",2801.24744837761,2554.82762130879,2785.80803558321,2303.57254071209,3050.16592358163,2950.10533886072,2649.57158593239,3339.48048681427,2469.85086190789,2791.13606393937,2713.35571956753,3083.82889938485,2158.12124776086,2479.10227397824,2134.82622466003,2686.53263242844
"RPL19",10487.3755991525,10241.7930104084,10410.9635236193,9841.74657730281,11433.4960808796,11862.0075428732,11024.5783730579,11167.1705418729,12508.5467840105,11045.0170107051,9435.15393139913,9917.61634002105,10365.9605384432,10267.321912996,10061.9646659818,11486.1392918729
"SLC25A3",6058.55369277445,6145.11676495322,6772.36088377746,6331.08561914865,6445.55490316951,5302.86304995584,5425.22770482501,5492.61789480038,7775.27714613682,5430.48075506548,6161.83916134352,6367.8519715503,5900.89204557191,5745.89138088722,5833.51696574207,6281.58809556119
"RPL9",11449.1846879998,11215.1596569915,11547.4715150385,11554.9205418729,11746.7330418729,12637.3604065858,12102.1808093911,12340.9830418729,12241.2330418729,12026.1270898047,11917.6270401363,11483.4877415424,11187.2642918729,11174.2624029729,11609.0136910745,12229.0008654897
"RPL6",7685.25680670442,7510.80219598967,8110.31587519051,7647.15813946136,8758.48078380506,8484.63541095024,8269.27308778041,8546.71185214163,9717.10804187289,8691.80330537218,8050.38972326871,8099.54102904745,7692.031856056,7775.32732391749,7324.52362557638,8550.54352639155
"CTDNEP1",992.734064502334,1143.27409838983,1371.60463415529,1128.0376888003,1562.84919416755,1616.23304187288,1665.89718159742,1792.48304187288,1431.14061827163,1215.61929749737,1317.483803482,1072.04554187288,1198.97362974163,1215.33229852032,1066.90380162105,1278.05818945636
"RPL10A",8545.45794239901,8092.04554187288,9231.13676065817,7643.10577165361,10241.2914042736,9004.60804187289,7996.79686343534,8111.95179187288,9775.40119127139,8764.82679187288,8194.74678065864,8445.65299217173,8177.35103020368,7977.72975123055,8176.72720638199,9686.69699571224
"RTCB",1315.31626371992,1718.49025528376,2260.50005225071,1775.7614822797,1805.19471884237,2216.78087212384,2466.76901295514,2228.36736295037,1888.46209275624,1493.55022347471,1589.70051222958,1156.9426225148,1851.02883837223,1854.31214613606,1855.54799816873,1839.99743112204
"ERH",4448.63056197723,4101.89286886495,4283.37960496184,3922.36751703523,4604.94586031629,4164.42900845492,4189.57679187288,4212.74905349323,4505.97496096759,3881.7413514746,3785.14783099366,4418.08586329972,4264.65991773514,4349.80739168804,4143.66015957736,4444.13343440282
"ABCF1",1164.86114399902,1110.25282859802,1117.48304187288,1235.23387046486,1073.10804187288,1092.62758266174,1062.43245031703,1006.73828555313,1105.23304187288,1129.78449203914,1136.07097259558,1191.12934129476,1079.91299278838,1078.78294817638,1022.99607388738,1220.50443347841
"DAD1",2847.88929187288,3008.80944833288,4447.68163684366,2370.11928506343,3903.54554187287,3285.46787042861,2897.23373565892,3081.34145973887,2734.34106714508,2208.61218346666,2541.4277062745,2850.98204466692,3257.0129126606,3314.12908916476,3206.09893183722,3246.00256805407
"KAT7",431.563579081934,477.608041872881,486.337911076293,463.818837539995,436.99690200187,350.508133604765,371.497855842919,357.33431870467,426.274613608096,542.465110632017,499.242425739889,498.420541872881,512.405078853469,510.469973767568,516.783047046874,464.477576190555
"ZNF146",1143.73634645602,939.414369541645,977.979469322976,943.8655332449,1033.41836513252,1129.90532299102,1247.62450365697,1086.99556371673,1456.20560361719,1154.50838367808,989.921912013638,1088.37788814099,929.290064997596,856.554844420808,875.402653207585,994.829296676125
"SART1",216.930491967022,221.666979485875,287.44470908491,304.713139641912,370.398460632785,326.688747229369,458.088880306339,340.921718502422,264.215997514705,316.644206476731,340.538854526766,219.220268515311,211.380534189105,201.697805199625,247.269299515192,294.239722583745
"ILF2",1115.42054187288,1038.30983388675,1207.74758812103,920.131577576855,1140.94633014195,1003.56911850487,736.822270893122,897.444702722365,1437.56318544321,795.958020762876,828.920824962196,987.854624428636,1087.67703170167,1023.21333577418,1057.5244840386,1128.36158091861
"SPAG7",918.98304187288,857.42054187288,1077.63351459281,846.557611330651,844.420541872881,1114.1844236201,1089.06848221876,1026.73304187288,878.031743733371,856.453654403718,859.693041897279,875.499165726768,862.136333434024,837.410280666593,835.575600247414,850.268983197465
"ZPR1",255.929209093784,225.582839674173,227.139608672034,248.725581304433,276.142936578765,269.227171006511,283.273311720133,272.670541932104,236.712806375314,211.19576229939,221.054884152384,221.420577394066,169.677786394621,179.659980665514,167.844237680189,247.670543499719
"TAF10",1294.00465393223,1386.76129705268,1996.37123872183,1376.84223568932,1680.64086355831,1877.91916217428,1618.73697570361,1842.8725143371,1935.43050582447,1196.12902157701,1431.82984859201,1278.13309029778,1335.50812323821,1452.57943132881,1386.75593882457,1501.36313709154
"C1D",674.877407182126,618.827347745143,1068.05965446033,576.61239951849,598.345758728574,599.836283043356,460.088336681638,501.958519705981,601.043659161516,647.918388380468,489.185891596587,672.75453921865,585.894588132778,628.938856807364,612.583736324198,610.733041872881
"RHOA",5195.61929312817,5530.98304187288,5162.91909204645,5759.45155985455,5111.58163555617,4287.76089005829,4088.97933579121,4477.75561112405,5016.14875394343,5367.35963915748,5640.45931588108,5266.54820322363,5703.64482758345,5044.44485057458,5605.22085743746,5561.22607189717
"RPS24",14119.3313071321,14495.1958162154,13750.5989082227,13742.9382375189,14195.4074522879,15102.23296025,15010.1141786227,15166.1873288843,13262.3267419228,14683.0014421555,13275.6848709846,13582.8575027998,14292.9038779734,14305.1295007087,14092.3179156002,14058.6315955531
"RPL30",11870.6470582598,11988.0455418729,12483.9279737491,11671.7854908656,13722.2955418729,13391.8892918729,13138.923446016,12410.0232339924,12627.4463612118,12854.6516809782,11855.0398447037,12006.4830418729,12289.094879287,11115.8452602683,12062.1080418729,13427.7884668101
"IK",1136.00627702021,1062.07679187288,1196.88525018422,1239.19875514773,1587.64009428069,1377.80755511704,1729.79554187288,1486.85804187288,1099.42725424105,1218.60088807411,1302.81870140243,1171.79554187288,1032.44218352516,974.791911562525,1126.85804187288,1236.58940501622
"SMNDC1",826.231312143042,750.617615881107,763.576265033773,806.062849671389,912.449111821293,728.919780610199,940.054299973284,691.651343911328,855.170541872881,838.152143260827,744.387164084639,848.545541872881,778.081796391349,636.920541872881,724.005123043328,887.783610119302
"ATP6V0B",1771.94263853897,1448.04107955702,2085.09989893179,1197.26996322781,846.759120556544,1630.20142865397,730.284788942727,1369.78403909328,1274.35804187288,982.774309999384,1066.78632518303,1466.29054839529,1467.48304187288,1694.53655046414,1616.4534546942,1126.20340138105
"RPS7",8214.73304187289,8773.29680587983,9352.82296665749,8040.21162757903,10022.5524721071,11577.9530248499,10566.5787734489,9623.95304012647,11425.6185738733,9929.32372743159,8879.7045513397,8656.69451821323,9479.69504980583,8859.84549256957,9270.72781075938,10074.4312611405
"RPS25",5153.72740523402,5299.20255135223,5784.55755297319,5289.79554187288,6725.06130707074,6903.05534403718,6134.34853901677,6100.79917990666,6578.16485119066,6284.71856851904,5405.58961413937,5134.09013925535,5600.42676651772,4999.31887132197,5365.697690047,5961.75929488012
