"","diseases","controls"
"GSM119628",0,1
"GSM119629",0,1
"GSM119630",0,1
"GSM119631",0,1
"GSM119632",0,1
"GSM119633",0,1
"GSM119634",0,1
"GSM119635",0,1
"GSM119636",0,1
"GSM119637",0,1
"GSM119638",0,1
"GSM119639",0,1
"GSM119640",0,1
"GSM238799",1,0
"GSM238800",1,0
"GSM238801",1,0
"GSM238802",1,0
"GSM238803",1,0
"GSM238804",1,0
"GSM238805",1,0
"GSM238806",1,0
"GSM238807",1,0
"GSM238808",1,0
