"","GSM175776","GSM175777","GSM175778","GSM175779","GSM175780","GSM175781","GSM175782","GSM175783","GSM175784","GSM175785","GSM175766","GSM175767","GSM175768","GSM175769","GSM175770","GSM175771","GSM175772","GSM175773","GSM175774","GSM175775"
"CDC42EP1",66.05347,81.57522,71.1511,86.03948,69.4727,77.48511,78.6914,81.295746,66.848785,68.9772,80.36368,90.30006,93.74,91.30543,88.605995,96.55425,93.015915,97.57825,109.569435,84.57162
"AFP",37.440453,41.39403,44.947247,36.820457,38.48043,55.452526,41.279243,59.469013,55.373493,55.94645,56.338345,65.09129,57.165462,42.883667,53.21714,46.096813,55.60382,37.3736,43.511574,44.413376
"CHGA",55.68828,53.72497,63.14023,33.554802,47.566853,51.53489,65.61958,71.78448,64.99676,56.62661,34.119507,33.671776,36.539032,33.10065,21.200737,32.474926,40.94958,37.22352,38.099472,37.145226
"IFT88",236.81561,261.16742,210.21277,164.2429,189.282,206.87794,186.77402,170.88914,176.8894,137.09889,227.16743,235.67828,289.87253,216.37308,187.44156,238.77133,245.87991,274.30865,236.54858,133.25624
"INPP5E",167.45836,209.02771,150.88466,194.08612,201.95067,155.29451,200.88498,204.32272,181.766,179.58421,174.27217,171.38914,205.03177,189.74115,190.71008,182.87872,175.1637,222.49133,174.6387,150.75838
"KIF23",119.800644,60.69618,64.282394,15.774763,48.136974,38.979538,53.47941,60.280693,81.885,70.288,24.232924,16.329792,12.420954,11.349852,16.436583,12.91101,12.586003,12.713122,15.7820425,22.191933
"KIAA0753",308.71707,309.33936,265.71725,250.02148,312.91412,309.96466,254.26057,266.16095,332.57764,314.1433,225.86848,230.84285,234.17863,212.48744,231.67287,251.3645,240.80554,241.66112,247.94536,228.91528
"WIF1",1376.6285,57.326736,640.32574,14.321532,204.33168,16.488659,156.68797,537.9307,101.04888,320.15067,182.41765,39.011093,48.109234,22.397474,420.1021,18.607805,37.094765,543.78265,95.28332,17.413935
"EPHB6",90.63451,101.85808,77.680695,84.416824,93.76293,136.8259,91.06311,83.32539,82.96995,97.65445,81.25188,76.11231,73.546776,76.58493,73.20948,77.62571,86.450035,69.3106,67.524666,56.80529
"COL9A3",33.288876,48.151955,37.522255,38.366974,48.38451,31.94478,36.640392,49.504585,42.16831,43.0905,47.8821,53.044582,52.761345,59.099174,72.137566,44.70698,39.150158,55.50239,71.559944,57.18395
"CDH13",79.009636,52.20032,79.80607,86.82962,47.41879,58.618267,80.64694,64.946075,57.473495,42.006424,50.767315,45.93245,24.708347,36.62117,51.161194,43.081287,48.84015,40.11034,40.5834,36.80367
"STX1A",112.69556,121.82535,130.20506,135.42787,119.09262,131.3672,119.87464,114.8527,115.46849,139.87207,94.48345,92.9538,103.0819,100.452065,91.75055,127.36778,129.92145,115.20797,95.418076,133.54166
"KLK6",105.48461,79.49672,71.75081,54.108105,88.62662,146.73271,85.151436,73.52728,127.61636,88.60887,57.65144,59.159653,41.73993,56.994972,51.226265,51.365856,87.54285,36.24796,46.22765,54.844128
"KRT15",40.683533,38.183475,30.220715,34.281677,39.2658,30.076416,33.732754,29.787285,43.05613,25.367044,30.354044,35.307117,28.463982,46.59605,30.564411,38.33637,42.350857,40.10026,35.44299,40.27856
"CENPC",83.00386,80.34123,73.69475,65.19971,96.86844,81.70174,89.127754,40.3489,83.01218,66.351906,83.56297,108.623955,82.28016,84.345726,73.60958,76.74234,85.52316,96.35892,80.836716,70.08706
"CNKSR1",81.183716,91.779564,99.88382,126.27486,86.8256,78.00533,93.97169,98.648,72.11273,104.487144,39.841843,46.376305,51.478035,46.78905,52.479645,48.542706,59.888783,50.206757,42.038364,40.13041
"TAGLN3",47.274513,46.823154,47.10072,57.051365,48.483345,52.44247,47.054207,50.086456,47.420383,40.727573,49.41217,58.749588,56.599884,46.058735,61.408894,53.286865,49.335056,43.72063,50.84123,51.15395
"IARS",882.72217,707.14075,905.7022,517.13916,671.6946,740.80756,860.9247,731.8212,814.26917,761.63654,550.87305,501.37546,424.63174,430.0071,447.39215,427.06134,502.87094,516.24554,503.42517,1183.0074
"PICK1",107.15735,112.29576,153.45651,124.145,105.91398,119.90295,113.95299,112.42279,122.47934,101.07375,100.982216,101.85521,120.2942,133.17163,102.39887,141.41148,114.45972,149.31863,123.77362,112.55211
"NAP1L3",281.99265,200.30132,201.46216,77.85432,243.06805,246.92796,342.31555,218.1633,271.03998,171.64226,226.60182,415.9457,313.1141,203.0131,317.11862,290.64813,294.75143,194.62039,283.21704,292.7342
"NUDT1",156.94453,106.56819,113.247765,89.64678,96.50537,97.89689,107.416565,154.68369,134.02603,121.86323,104.48476,66.40999,72.39605,82.33487,72.15879,83.9794,72.19138,100.494415,67.77776,78.84712
"EVI2A",41.524746,51.366665,32.101753,40.565727,46.81994,66.357574,36.604515,55.08024,55.524784,47.38455,162.17786,111.642365,46.299576,250.35326,191.66878,104.87769,140.16142,107.55623,63.03903,72.381996
"CHAF1B",83.514015,52.50673,70.596725,54.578835,79.29149,63.264996,68.36377,83.20227,68.99757,76.945526,56.05604,51.39044,51.478035,55.000347,48.810894,62.109123,54.082283,52.395905,46.584255,55.824802
"THBS4",93.222435,105.59809,66.329765,121.45842,97.36575,79.78332,88.52879,94.23589,94.73189,85.87304,386.43274,417.7073,222.41612,216.63313,519.7849,162.76836,179.86462,278.32166,342.98068,841.39496
"MAL",32.01492,29.964432,27.442974,31.385891,29.015268,27.730242,25.858257,57.98462,31.082212,24.128569,32.484142,29.16457,27.978527,24.8797,29.380545,24.152092,31.6286,21.575048,29.005674,27.659042
"MLF1",44.332478,77.43151,43.1028,50.32797,50.279793,36.296932,61.435223,43.352406,46.33552,60.877396,48.5942,84.98529,51.630756,57.668266,51.22525,66.707565,56.28714,67.81003,58.999725,47.548267
"VSIG4",86.7665,57.017178,79.158516,135.45836,72.71652,50.954983,59.728794,74.27784,81.186775,99.40142,247.86107,198.98872,115.16474,288.27356,321.83017,141.19864,213.01791,204.15892,206.71011,131.88866
"SMAD7",168.74367,325.1574,204.02626,123.78289,184.7939,228.74997,163.64621,175.85262,224.70303,186.28607,124.0185,142.3882,128.34526,148.48819,169.53485,85.7101,112.46874,122.67854,179.90579,73.84383
"NR2C1",221.65298,191.9449,210.0145,245.00484,254.74928,167.73262,209.43237,154.80122,229.11665,186.85115,216.86247,216.77501,233.3264,237.83421,224.01471,181.6577,202.20149,196.46536,226.24014,195.4149
"GPRASP1",167.32498,127.962166,131.4738,118.42333,140.1724,163.10936,142.7579,114.817764,162.20067,116.77936,422.668,419.81534,581.79736,437.1734,347.1918,410.40527,429.62344,425.87234,555.72754,141.51503
"DUSP2",190.48859,1407.5074,166.86278,224.87796,301.14362,209.72989,197.21361,153.88503,316.52823,181.00781,89.95054,769.68317,76.03226,121.461205,101.441765,95.0256,169.61183,109.60648,94.79596,88.84321
"PRR3",186.00789,166.57745,159.40077,140.3234,195.7794,157.88542,173.21431,166.3936,164.93646,169.57448,146.94669,142.95251,210.97665,149.43118,133.16402,201.09218,179.37189,163.02135,184.03773,150.66136
"TRIM21",138.52063,129.25705,128.66554,153.43881,137.82336,137.66817,136.53717,156.29607,161.65022,152.12013,208.23294,180.38022,162.57722,184.80968,168.17992,155.30058,190.40714,186.7571,237.46376,165.95683
