"","diseases","controls"
"GSM119615",0,1
"GSM119616",0,1
"GSM119617",0,1
"GSM119618",0,1
"GSM119619",0,1
"GSM119620",0,1
"GSM119621",0,1
"GSM119622",0,1
"GSM119623",0,1
"GSM119624",0,1
"GSM119625",0,1
"GSM119627",0,1
"GSM238790",1,0
"GSM238791",1,0
"GSM238792",1,0
"GSM238793",1,0
"GSM238794",1,0
"GSM238795",1,0
"GSM238796",1,0
"GSM238797",1,0
"GSM238798",1,0
