"","diseases","controls"
"GSM466948",0,1
"GSM466950",0,1
"GSM466953",0,1
"GSM466955",0,1
"GSM466957",0,1
"GSM466959",0,1
"GSM466961",0,1
"GSM466964",0,1
"GSM466966",0,1
"GSM466968",0,1
"GSM466970",0,1
"GSM466972",0,1
"GSM466974",0,1
"GSM466976",0,1
"GSM466978",0,1
"GSM466979",0,1
"GSM466981",0,1
"GSM466984",0,1
"GSM466986",0,1
"GSM466988",0,1
"GSM466990",0,1
"GSM466992",0,1
"GSM466995",0,1
"GSM466997",0,1
"GSM466999",0,1
"GSM467000",0,1
"GSM467001",0,1
"GSM467002",0,1
"GSM467003",0,1
"GSM467005",0,1
"GSM467007",0,1
"GSM467009",0,1
"GSM467011",0,1
"GSM467013",0,1
"GSM467015",0,1
"GSM467017",0,1
"GSM467020",0,1
"GSM467022",0,1
"GSM467025",0,1
"GSM467027",0,1
"GSM467031",0,1
"GSM467033",0,1
"GSM467035",0,1
"GSM467037",0,1
"GSM466947",1,0
"GSM466949",1,0
"GSM466951",1,0
"GSM466952",1,0
"GSM466954",1,0
"GSM466956",1,0
"GSM466958",1,0
"GSM466960",1,0
"GSM466962",1,0
"GSM466963",1,0
"GSM466965",1,0
"GSM466967",1,0
"GSM466969",1,0
"GSM466971",1,0
"GSM466973",1,0
"GSM466975",1,0
"GSM466977",1,0
"GSM466980",1,0
"GSM466982",1,0
"GSM466983",1,0
"GSM466985",1,0
"GSM466987",1,0
"GSM466989",1,0
"GSM466991",1,0
"GSM466993",1,0
"GSM466994",1,0
"GSM466996",1,0
"GSM466998",1,0
"GSM467004",1,0
"GSM467006",1,0
"GSM467008",1,0
"GSM467010",1,0
"GSM467012",1,0
"GSM467014",1,0
"GSM467016",1,0
"GSM467018",1,0
"GSM467021",1,0
"GSM467023",1,0
"GSM467026",1,0
"GSM467028",1,0
"GSM467029",1,0
"GSM467032",1,0
"GSM467034",1,0
"GSM467036",1,0
