"","diseases","controls"
"GSM508594",0,1
"GSM508683",0,1
"GSM508686",0,1
"GSM508687",0,1
"GSM508688",0,1
"GSM508689",0,1
"GSM508690",0,1
"GSM508691",0,1
"GSM508692",0,1
"GSM508693",0,1
"GSM508696",0,1
"GSM508699",0,1
"GSM508702",0,1
"GSM508703",0,1
"GSM508705",0,1
"GSM606619",0,1
"GSM606620",0,1
"GSM606621",0,1
"GSM606623",0,1
"GSM508608",1,0
"GSM508609",1,0
"GSM508610",1,0
"GSM508627",1,0
"GSM508628",1,0
"GSM508629",1,0
"GSM508661",1,0
"GSM508684",1,0
"GSM508695",1,0
"GSM508697",1,0
"GSM508700",1,0
"GSM508701",1,0
"GSM508704",1,0
"GSM508706",1,0
