"","GSM21215","GSM21217","GSM21218","GSM21219","GSM21220","GSM21221","GSM21226","GSM21231","GSM21232","GSM21203","GSM21206","GSM21207","GSM21208","GSM21212","GSM21213","GSM21229"
"TRADD",202.001259449845,171.159838474988,106.297227383185,137.880077080202,132.146921478273,123.29382090463,144.368533126039,137.005729038278,143.556641746812,192.337093217766,115.198357201974,180.469853688932,160.766296448349,149.420789322137,194.843723914634,102.591106319942
"PRPF8",459.126552527004,467.431468742514,618.347825787248,359.332929931293,401.626359752361,433.69251793462,364.834390916559,360.668908929718,345.940379552454,391.293862637413,566.270499823321,303.982639492002,364.631824931123,408.572873719652,409.311524483781,502.205017934619
"CAPNS1",1306.24977839997,1072.502269216,1647.97616081479,1109.43037365719,1313.3163903337,1471.33802005355,829.246906827399,1164.49749738677,1078.45765276815,818.495544482315,884.93363337203,466.233211205829,976.661562659842,877.301999396902,644.915053008856,1447.12278624901
"RPL35",857.361189310209,798.382425698362,1196.69514289624,1128.24649815027,1255.31134118565,1117.98802636127,1257.83109993805,1282.07668412678,979.783269297032,714.460501938001,1328.94893793399,716.042517934619,437.164795753032,817.294189551183,517.504658351773,1371.15069825068
"EIF3D",304.148983109151,348.168663258787,368.71265230437,317.830342883659,300.03001793481,380.476486614952,232.901737069471,359.248137928361,278.926037135901,262.744044028288,386.092517934619,172.9945699419,233.406486436794,264.199497086049,251.144734026572,495.123767934619
"PARK7",1786.15145390843,2113.50228481296,2080.40018349765,2092.52051743378,2069.6499279409,2154.65836775065,1480.17478272002,1767.58881480194,1676.85108617573,1356.32894791968,2179.24001182851,571.347246656395,1618.70594197297,1569.90093054226,1174.7518652156,2228.56165853535
"SRP14",1890.03459727764,1026.23319536933,1999.82553813955,1075.40131666554,1772.14533052355,1764.86701548404,1279.96932611242,1573.4608926808,1181.80627518448,1160.21645969558,2056.09251793462,681.826892934618,1100.58574624854,1209.51126793462,1237.651448547,2228.11439293462
"GDI2",100.507850981249,90.9904490765982,246.105089211626,154.445189737874,309.702432807791,327.472261490464,176.286091446592,301.028501839493,150.459658297709,116.507876294809,342.260398449664,146.103128553712,105.218694214748,135.467104575513,131.164974877912,309.611267934656
"RPL11",1398.91401545654,948.432740419872,1398.24061575175,1308.53703137709,1463.86794015475,1426.64365295162,1384.65200208943,1413.46565926039,1289.24060631434,1075.78682641988,1867.00050251341,1136.25590683619,987.341031962385,1125.23843543579,940.13673803705,2067.85814293462
"RPS27A",1941.3380142319,1336.88889386529,1739.80738580328,1591.34562862449,2168.73230483091,2021.88216969816,1855.60978543864,2004.96629726563,1788.70926285211,1324.44932603003,1934.5896125227,1393.05288873583,1445.20071096817,1529.89816753335,1430.07187380827,2764.06760818293
