"","diseases","controls"
"GSM609366",0,1
"GSM609367",0,1
"GSM609368",0,1
"GSM609369",0,1
"GSM609358",1,0
"GSM609359",1,0
"GSM609360",1,0
"GSM609361",1,0
"GSM609362",1,0
"GSM609363",1,0
"GSM609364",1,0
"GSM609365",1,0
