"","diseases","controls"
"GSM372731",0,1
"GSM372732",0,1
"GSM372733",0,1
"GSM372734",0,1
"GSM372735",0,1
"GSM372736",0,1
"GSM372737",0,1
"GSM372738",0,1
"GSM372739",0,1
"GSM372740",0,1
"GSM372741",0,1
"GSM372711",1,0
"GSM372712",1,0
"GSM372713",1,0
"GSM372714",1,0
"GSM372715",1,0
"GSM372716",1,0
"GSM372717",1,0
"GSM372718",1,0
"GSM372719",1,0
"GSM372720",1,0
