"","diseases","controls"
"GSM414928",0,1
"GSM414930",0,1
"GSM414934",0,1
"GSM414938",0,1
"GSM414940",0,1
"GSM414942",0,1
"GSM414947",0,1
"GSM414953",0,1
"GSM414955",0,1
"GSM414957",0,1
"GSM414963",0,1
"GSM414966",0,1
"GSM414970",0,1
"GSM414972",0,1
"GSM414975",0,1
"GSM414927",1,0
"GSM414929",1,0
"GSM414933",1,0
"GSM414937",1,0
"GSM414939",1,0
"GSM414941",1,0
"GSM414946",1,0
"GSM414952",1,0
"GSM414954",1,0
"GSM414956",1,0
"GSM414962",1,0
"GSM414965",1,0
"GSM414969",1,0
"GSM414971",1,0
"GSM414974",1,0
