"","diseases","controls"
"GSM475657",0,1
"GSM475658",0,1
"GSM475660",0,1
"GSM475663",0,1
"GSM475665",0,1
"GSM475667",0,1
"GSM475669",0,1
"GSM475671",0,1
"GSM475673",0,1
"GSM475675",0,1
"GSM475678",0,1
"GSM475680",0,1
"GSM475682",0,1
"GSM475684",0,1
"GSM475686",0,1
"GSM475688",0,1
"GSM475690",0,1
"GSM475693",0,1
"GSM475695",0,1
"GSM475697",0,1
"GSM475699",0,1
"GSM475702",0,1
"GSM475704",0,1
"GSM475705",0,1
"GSM475707",0,1
"GSM475711",0,1
"GSM475714",0,1
"GSM475716",0,1
"GSM475718",0,1
"GSM475721",0,1
"GSM475723",0,1
"GSM475725",0,1
"GSM475726",0,1
"GSM475729",0,1
"GSM475732",0,1
"GSM475734",0,1
"GSM475736",0,1
"GSM475738",0,1
"GSM475740",0,1
"GSM475742",0,1
"GSM475743",0,1
"GSM475745",0,1
"GSM475746",0,1
"GSM475749",0,1
"GSM475750",0,1
"GSM475752",0,1
"GSM475754",0,1
"GSM475755",0,1
"GSM475757",0,1
"GSM475764",0,1
"GSM475766",0,1
"GSM475767",0,1
"GSM475771",0,1
"GSM475775",0,1
"GSM475783",0,1
"GSM475786",0,1
"GSM475790",0,1
"GSM475798",0,1
"GSM475800",0,1
"GSM475807",0,1
"GSM475809",0,1
"GSM475811",0,1
"GSM475656",1,0
"GSM475661",1,0
"GSM475662",1,0
"GSM475664",1,0
"GSM475668",1,0
"GSM475670",1,0
"GSM475672",1,0
"GSM475674",1,0
"GSM475676",1,0
"GSM475677",1,0
"GSM475679",1,0
"GSM475681",1,0
"GSM475683",1,0
"GSM475685",1,0
"GSM475687",1,0
"GSM475689",1,0
"GSM475691",1,0
"GSM475692",1,0
"GSM475694",1,0
"GSM475696",1,0
"GSM475698",1,0
"GSM475700",1,0
"GSM475701",1,0
"GSM475703",1,0
"GSM475706",1,0
"GSM475708",1,0
"GSM475709",1,0
"GSM475710",1,0
"GSM475712",1,0
"GSM475713",1,0
"GSM475715",1,0
"GSM475717",1,0
"GSM475719",1,0
"GSM475720",1,0
"GSM475722",1,0
"GSM475724",1,0
"GSM475727",1,0
"GSM475728",1,0
"GSM475730",1,0
"GSM475731",1,0
"GSM475733",1,0
"GSM475735",1,0
"GSM475737",1,0
"GSM475739",1,0
"GSM475741",1,0
"GSM475744",1,0
"GSM475747",1,0
"GSM475748",1,0
"GSM475751",1,0
"GSM475753",1,0
"GSM475756",1,0
"GSM475758",1,0
"GSM475759",1,0
"GSM475760",1,0
"GSM475761",1,0
"GSM475762",1,0
"GSM475763",1,0
"GSM475765",1,0
"GSM475768",1,0
"GSM475769",1,0
"GSM475770",1,0
"GSM475772",1,0
"GSM475773",1,0
"GSM475774",1,0
"GSM475776",1,0
"GSM475777",1,0
"GSM475778",1,0
"GSM475779",1,0
"GSM475780",1,0
"GSM475782",1,0
"GSM475784",1,0
"GSM475785",1,0
"GSM475787",1,0
"GSM475788",1,0
"GSM475789",1,0
"GSM475791",1,0
"GSM475792",1,0
"GSM475793",1,0
"GSM475794",1,0
"GSM475795",1,0
"GSM475796",1,0
"GSM475797",1,0
"GSM475799",1,0
"GSM475801",1,0
"GSM475802",1,0
"GSM475803",1,0
"GSM475804",1,0
"GSM475805",1,0
"GSM475806",1,0
"GSM475808",1,0
"GSM475810",1,0
