"","GSM85215","GSM85216","GSM85217","GSM85218","GSM85219","GSM85220","GSM85221","GSM85222","GSM85223","GSM85224","GSM85225","GSM85226","GSM85227","GSM85228"
"CYTOR",22.1007852673839,27.0815258011407,21.1678023872406,62.6016419040569,50.1033657995801,19.6783332887562,332.760755337204,23.9906975255699,19.9533521636905,21.3618890022267,18.9743591660741,21.2239037251849,29.7213348849997,25.4882167665662
"ADAM32",15.6424894931221,17.0526930104453,14.3414415247414,15.5021962627301,16.0594678558624,12.6922385055317,13.8550661600237,18.5306606531257,16.8956148328521,15.9368799912485,15.5837312190955,12.5910979680766,12.5754085240075,18.5763230254021
"TIMD4",9.77025508132709,9.34828312528755,13.7509781212814,8.66551035791378,9.5191192170956,9.78207978386077,9.88316898436747,9.35384905275546,9.78669766832735,10.0750762860485,9.60867598144967,12.0205430465734,9.98932167937983,11.0367514748295
"ATP6V1E2",50.2835073180965,65.6466014103579,53.4468725644138,52.5989425770149,51.0177148264917,80.407847429108,74.4885868369473,42.6547574654265,40.5776263216083,59.3904570718499,44.9030964376987,67.8253129508965,67.0998110641229,38.4714899857466
"CILP2",19.5707776567665,22.0402323226793,18.7825146633638,15.4517438950618,14.0785502071261,16.1916003213068,20.9450506582838,16.9252877978496,17.9745275011438,16.4169202947619,16.1850493369003,16.1235403612751,19.5453458552095,17.3493983013145
"BEST4",39.522952744458,33.6328706699308,38.7105944029289,37.1461797877003,28.8899655605502,28.3363056216271,33.4150789161296,49.7175008511934,37.8221133177535,44.2445886055784,33.5247910304732,25.1987383029757,31.7566224619154,33.1000905695807
"CORO6",90.179424770296,146.260713797604,81.2735249054697,113.039502425002,228.91371594474,282.502070463598,107.491558001671,103.92249714805,247.901194644632,60.2740346506663,30.6536737595106,209.982670151231,89.4607227942857,330.533114143465
"RAX2",47.1142844506377,54.7544903174143,45.688518129952,41.0671978756529,43.8846520893087,41.1096876063291,40.8598934231678,68.1926417885041,39.0079138572397,51.7429048028304,41.9586605204089,40.4494893558061,42.5447896459504,56.8965811106338
"GIMAP1",11.2499830045375,10.5410291567792,14.5335786719134,10.3846547254296,9.20935147633225,10.0342024263236,9.43997439900965,9.09724586361511,9.40847650338117,10.1935529223532,7.78172987611274,8.33997426493649,9.89245401716371,8.90972826027839
"TRIOBP",51.2058084748071,33.6898524909167,41.6776924107568,46.1723500873361,65.0579494376771,53.5653048861554,37.2959004574578,33.7938589187563,42.2380723091357,59.8083599181839,76.3606785981088,46.7670829055144,36.4958066048403,41.9616409773212
"CATSPER1",9.35027307265485,11.2370025754332,10.2342328824793,8.34810310423365,7.81352630742051,9.38074155152051,9.04481145475058,10.0132071626181,9.91420940117577,9.76479759045425,8.7333626035199,10.4557501282841,10.6646321189457,12.0394878690964
"GSC",13.5392730249832,10.3041027112787,12.6643918444819,11.0872667526825,11.0906378328348,11.4813691325963,10.8558621321351,12.5956577651931,10.0318600520721,12.6577430021879,10.191849762552,12.1993301795253,8.89402342472866,12.6326745180356
"SP7",7.0568051272868,6.71024473959563,7.84595652645025,8.00064770152935,7.48173779840033,9.37071395469059,9.30471732524851,8.18857974391027,6.62258323303401,8.85329197472673,6.70945092350375,7.9571762230188,6.67983813260065,7.55731187868972
"CNOT7",10.8426119998132,12.2490687801155,11.9916097760878,11.1111900185909,15.3513545618944,14.3689745830838,11.3821030412983,10.7704511173951,14.752346638584,11.2862953349024,9.7293190840865,12.8432364031512,15.3655482938793,16.3080883862419
"LEAP2",32.4015296053229,24.2616402524506,25.4765109575461,32.1990300496785,31.1869952125043,25.4194840439162,23.9784530841997,27.3634207169241,19.0836389470049,22.4223478086306,27.2738350325397,23.7522802836698,27.4542052436168,23.6994306485074
"CTCFL",9.86219888111341,13.0967909767245,9.17090307915344,8.10868461240992,9.02244432867959,8.07715109040483,18.0492066229746,11.248130624591,10.7516876750765,9.48700950569663,8.00227720864438,9.47358789748043,13.7224814282148,9.43931938934846
"TVP23C",43.8079559556327,34.7382462853203,58.7675221298,40.6323342759717,51.339328774674,60.9440383271967,65.3553658322115,41.1901309198449,38.7200006957503,49.6532975759568,47.1870931120748,61.0935779623302,55.6427462922602,63.4127727702671
