"","GSM372731","GSM372732","GSM372733","GSM372734","GSM372735","GSM372736","GSM372737","GSM372738","GSM372739","GSM372740","GSM372741","GSM372711","GSM372712","GSM372713","GSM372714","GSM372715","GSM372716","GSM372717","GSM372718","GSM372719","GSM372720"
"PTPN21",1.32464789916538,5.80681293033478,2.88667130592275,4.23249677686649,19.9421474732775,2.61566615942377,3.36901077264441,2.86093344985834,3.34000877124085,1.99496149539938,2.9931384219684,2.09622102929665,3.86635813729557,3.06435700658227,3.50725015935173,3.04833182594742,3.33422018132368,3.66377517197621,2.5641602093345,2.33147501562645,4.14468197360643
"CYTOR",68.9912102166304,56.4297922780763,66.5931274888958,44.4798876050133,52.9999334713147,31.2535435312003,56.6222309110972,61.5339860610801,45.8257861726115,79.9207885154616,106.075276892492,50.0746788501373,90.9197212272668,76.1884404367321,95.5003826036095,95.8624654817345,79.1559125888646,55.6658695882222,113.838302180279,87.4464154989811,43.6696593361056
"ADAM32",11.6367951092732,11.4140679661422,15.2043238644707,15.533649316673,13.4914936183558,15.8144871896618,27.2154169079478,4.85113961205477,14.6013456670864,5.12321733987886,11.8126603448829,6.32890105889382,15.1718719847996,14.3466948898713,8.49704240058072,8.48981602521123,11.1521374508517,9.92188312902158,12.9342864196508,14.0983054118722,14.516248244711
"TIMD4",22.9816719086212,39.6849789039707,24.968243725766,45.9127751982132,21.3822592585221,16.8954289196061,12.5048703823852,10.3593495814912,45.7108027363405,29.9602004865684,28.0363051168138,12.8451694696545,22.9377299072825,24.2838591719094,38.2326921332723,7.56574957404687,10.2716920642713,12.2919926724728,33.4233720895021,24.1740453338646,40.5338659150369
"ATP6V1E2",81.793925549112,93.0519812093012,86.1066017370561,80.5944349001019,65.478707716454,77.3550018001504,94.5648199471427,85.204795357474,100.23606759538,45.6322661428553,81.8314579525203,67.8317017119697,77.640451682536,69.0863437346356,66.6581122934872,74.3137485630004,59.1911750249377,111.648284782259,71.0409465483116,60.4146173107108,96.7516782151243
"BEST4",12.9968058538675,16.279437169476,4.31790039677558,6.79319152050374,1.45155227307202,7.88049020818141,4.78542028550494,7.92460061992,13.8594951644657,30.8815233169471,22.2071291809985,4.72882218431841,14.9629819736004,27.653481634256,4.3829654350126,6.12886579088483,27.8995634245334,5.14319112329373,14.7993578673181,18.4881848933473,19.5988903644305
"CORO6",36.7720300291164,66.0258733846584,51.6832235144496,38.037493794447,18.8457822798274,45.9266721182852,57.2339026926955,52.9251135905414,59.301650696593,43.6965758617118,52.9364475235202,21.2988230573934,31.9791004066981,58.5035670486654,47.017281995688,48.856673978004,44.9031612553191,37.758222793834,39.687631162192,45.2589673531686,38.4973167198758
"RAX2",45.181624217612,4.54993123570911,83.1278099053644,8.62694365791418,36.818976043987,42.4847873581994,73.00664480137,77.408547021958,32.5802928350183,34.6599354710876,75.4880303717582,44.2374539833664,27.4194438328048,25.2394829957733,70.5337173470905,5.49943897643028,61.2345768933981,90.6678540724497,7.67723897771061,85.5563634044629,81.0839470273614
"CATSPER1",3.35432684390878,4.81306444999396,7.58330399153924,12.8613524902602,8.02475063183659,8.88281577926073,5.26883463262039,6.42340060059568,5.46596090329906,16.4482465375696,18.360045938155,4.90550163666191,26.9868185903679,11.2213334852872,35.1655352884086,16.9845604408375,46.1302477394155,7.60358308844162,11.2730318947917,16.9055402646453,3.90469286245159
"GSC",1.39461237136975,1.22268535463562,1.34755919557529,1.02311308290299,1.66601371175109,0.872684189796379,1.38911110351954,1.24655108820103,2.02117937574964,1.08249222385275,1.36538991133435,1.3290227285965,1.0143411583926,1.1995557728115,1.26965972870633,1.19130857346624,1.42017865471836,0.997459550661177,0.895043012543199,1.007369875283,0.965087890996146
"SP7",17.7144272383685,6.84856353103131,14.6675614495601,24.0442569966533,22.9248586169497,29.9851242641971,5.12598568797733,22.3317854341223,5.16190282824426,4.74770568856187,11.0530802954998,10.8031695389352,4.06149507465471,4.12876430342234,5.31853505564372,5.41211985843814,12.7593319885875,13.0135992163647,18.4629278193037,15.839878064374,5.17910766267355
"LEAP2",122.008734399324,86.9662676665524,94.7619369485068,175.052085374999,131.22782658495,63.7943402374615,164.656675348169,173.101423639701,185.501765118484,115.87557783852,100.46559020255,107.273142426248,108.589151742955,162.534308803293,129.031788769028,156.892914713275,109.163559617218,141.710401578305,117.857120132623,150.363859277746,151.126993219738
"CTCFL",2.14780284030079,6.23406535210616,0.736413450997438,8.93569385822764,0.472921849538646,1.79650354515207,10.9522823755374,4.78856008422393,2.35267134284446,6.62891313458136,1.73166017862759,5.02888977807795,8.78408009932765,7.10547691211184,11.9080677261674,5.92039712819407,6.45954687808849,16.5123562838759,2.6180281153262,2.71878085671913,20.3718934860532
"TVP23C",60.8016809742344,74.7224293164849,97.0311328038022,90.5309762734013,110.997978190773,106.731156407097,128.756811964936,100.351292848683,81.426105737258,80.8113866426882,114.945985659149,89.5880441966113,94.9098929364779,91.61356683781,91.8422832482029,106.210258956793,78.8944503305125,68.5957615345631,81.7625657564968,114.182144306614,88.2308596786889
"GAPT",41.1266048178003,57.5410839349482,50.5918034053309,55.7929956442673,135.260446992041,64.2778146360339,29.0317188526229,28.058207281223,26.1807052076426,17.9923479953042,49.8372675175547,134.494247960903,53.4197785716982,12.8002600770397,145.195668644138,67.3746334417209,86.6137511480991,25.5357616341429,48.4779661859546,33.3264604015157,46.2546127039277
"CCDC185",7.45400242479358,7.55400693121709,10.537812717272,1.99656752201677,0.847563329109949,7.20062819468192,2.02467336860385,9.8882537077989,11.8766414940757,15.0714287474509,7.35514382596158,2.25062673245028,4.01852868118056,0.912626732738036,6.95840806677957,5.36555285806636,1.64999403617528,7.78838363228477,15.6656925736149,1.76325790607311,1.30802707567135
