"","GSM11805","GSM11823","GSM12075","GSM12098","GSM12268","GSM11814","GSM11830","GSM12067","GSM12079","GSM12100","GSM12105","GSM12270","GSM12283","GSM12298","GSM12300","GSM12399","GSM12444"
"PAX8",1594.24266676271,1155.52936308666,1200.63533125089,1207.23847692698,1217.70367906541,1471.94230818812,682.654412507937,596.120105996974,1072.66366908065,660.494819903182,589.666594082958,523.715292970929,1195.48349432499,1144.22368696669,993.74954610077,689.206006901561,1116.04533449754
"BAD",27.5790171235692,45.9172948158735,43.0269076541038,42.6540747756551,45.4025240443178,40.1565459739035,36.0558254945059,38.3624292501445,32.057870178756,47.85525145836,38.9635860901196,40.3182949499266,46.0939378520254,42.0947398036313,41.2882791589221,44.281168720563,41.5310601134128
"PRPF8",275.891204039034,345.479901379071,326.370865553109,285.681337479297,334.793378587022,376.325643639594,361.972525221682,267.856028326544,327.665383722675,220.43893361676,410.418676262517,444.390708553648,301.907870904657,303.771982602149,282.515427016582,387.650130455819,289.298707275715
"CAPNS1",822.980665837052,1211.12877834006,961.013179351236,1006.72759963617,954.090283143732,1619.43357659816,953.326160005069,930.316571671337,405.743490990058,898.882309771146,1064.88169154463,997.843887309446,907.127449567391,1345.10665311733,1070.83306355184,1303.23275393134,938.182854301826
"RPL35",1472.5845701374,1215.23802605784,1202.78980892005,1368.44085678122,1375.89633484341,2669.08171778442,2022.73653195042,2013.0813752661,1577.63711297583,1842.16289886742,3192.48807477261,2024.81586234996,1009.05671242372,2018.95550041625,1195.99647833999,1654.69515524232,1434.3482476893
"EIF4G2",1478.36692307857,1367.09045249053,1025.76948712243,1221.18885633857,1217.43313784948,1343.83162896154,1094.29047345019,1234.11984963869,668.574689917558,997.583345154723,1145.58547658318,1172.36766721114,939.48721111002,1059.901677328,1242.7288489365,1369.36692307874,1211.77743730067
"EIF3D",834.979985445037,526.614137850937,522.233666826053,553.033676132082,591.23907539038,747.127601534175,701.108062910077,671.656568620498,648.779580586985,585.249526657929,878.444461993763,834.476936008533,529.519964223993,691.296372450609,491.63435584646,626.282746905497,544.674405608523
"PARK7",1779.63332011126,1696.90826325197,1447.23985276536,1539.15909552682,1340.3291369727,1591.46664551978,1180.57883057368,1439.39968941036,974.623720410795,1018.40185977403,1272.31984830845,1095.2469209953,1466.3967464851,1620.33599598244,1429.58162896093,906.411430249338,1382.01807839299
"SRP14",2047.35401898943,2022.5945436314,1564.7660597516,1788.67574660799,1888.00245625147,1148.80700179784,1633.44432925762,1632.1539833732,1001.51682106926,1081.91103380259,1444.53751131387,1580.81273632467,1612.23525702345,1527.01215438751,1668.098052701,1656.14045249034,1734.57570049211
"GDI2",48.7499630147799,179.275043329364,112.081268405755,107.745772949903,111.400990381104,137.624951116317,211.585681076444,77.9553541604308,64.8162566520506,108.357194425923,97.480113669823,180.349550332274,116.230261760519,101.963038226631,163.280513948567,206.781769888044,118.20384859542
