"","GSM420149","GSM420150","GSM420151","GSM420152","GSM420145","GSM420146","GSM420147","GSM420148"
"PAX8",161.386540178952,126.454954796566,150.064975979012,145.238115618126,126.129748645404,152.108487393558,137.20228210157,196.668876746165
"CYTOR",9.89588609842011,7.68897780567272,8.47320150588859,9.73122670085393,7.59817211220872,10.5589642450861,9.99724059527271,10.4395806283018
"MAPK1",45.600590265329,87.0277738610776,41.8020832447035,35.6754147263071,30.563125198784,30.8774697095327,25.0730902378393,31.9899779517118
"ADAM32",10.1151410815404,8.14660560015519,8.37819113294131,8.56955363386898,7.89979732290625,8.29140949521175,7.70217323943364,9.75002126220418
"PRR22",26.3915016904415,32.2642068035324,25.9210454465321,34.4772459949441,33.7487133454895,31.7184824987653,33.6673126580577,39.2221440377943
"PXK",123.397412846856,285.920074860936,103.280624714349,102.434333322701,105.272972424832,77.684700875559,122.556596597772,221.308452154904
"SLC46A1",11.6600741015337,12.5098976239995,11.0188653482049,14.8677858261722,9.74272116690536,11.3914120202546,13.1784332853587,12.0970878663094
"TIMD4",10.1597200976228,8.07596877146896,7.86153559575306,8.66583099028154,8.11280184478148,10.4748461261259,8.78282640640655,9.84968412007771
"ATP6V1E2",38.8270524955369,50.8078027804723,36.2413021691888,47.7552768374078,47.5918039416731,45.5202014751177,44.6387918188711,29.5515272291428
"BEST4",6.75344026206652,8.84708380330037,7.60207525026202,11.6134398150757,9.9716839106045,6.93137242007794,8.84371443472384,8.22384457017452
"CORO6",51.8869489470695,43.8722717388331,52.0392867314878,41.4637703132962,77.4267896628949,65.9273125653027,45.0537991830037,43.0441388855048
"ALG10",7.01178927258331,7.85894463336139,6.41084937710685,7.12578286147655,6.64740510940609,6.81183210239997,7.21016566972131,7.21016566972131
"RAX2",132.949043632819,111.077128975026,145.26719937359,159.338694664648,128.926985834239,129.236990293161,153.271967728474,215.920473434902
"CATSPER1",11.8441574986668,11.5019289746889,13.9138542373926,15.1029772609334,11.0310661675984,11.8941037902089,12.1097733140988,17.2631955374403
"GSC",11.2202480316676,9.55400682888646,8.87199463447638,9.56454679000686,7.95731037261651,9.33393070636172,10.7113828326279,12.5660457273106
"SP7",14.5099566389625,13.9282955362016,10.8924808745388,12.1312454271059,12.5523053410072,12.7607109720013,16.0486101541612,19.5937525288203
"CNOT7",28.6303465871381,66.9481593957656,26.1358671953055,23.1616425951966,22.4080347698633,20.4045912876761,14.7919997770774,14.5791631031483
"LEAP2",34.7390567792964,35.7232674909685,39.6137072470531,20.2872110140772,41.1905851201946,27.7707773109199,25.1449828443875,27.5754761852289
"CTCFL",7.90595932652099,7.84053710757332,8.63335677887883,8.12124932408988,6.28496176091665,8.02837218090517,8.3864101495336,7.96799224899705
"C4orf33",5.4058822474561,6.55667583893614,6.52870544503604,6.19733980251545,6.28090022655311,5.41535133326455,5.9257566085126,6.05928036874545
"ZNF333",11.4685251032494,12.5653566799656,10.613166376211,12.4903270999267,12.0580570819214,13.5360043866869,12.9132347392395,10.9607186198616
"TVP23C",60.3441939147111,58.0162605413729,65.0745959585523,85.3789965064629,57.28909478243,65.207484994872,70.1612689129544,77.0181231231931
"GAPT",7.80033872772319,9.05466129673241,7.65822219486657,7.03986447650749,5.8933816793106,9.71076198756698,9.06284789672036,7.90039594606575
"ERICH5",6.85649870890393,9.64057462741271,7.10763359974343,7.5034937886744,8.13409554987726,6.39899185474859,6.84031143221202,6.97786197157046
"CCDC185",8.18720513887853,8.61076308032118,8.23321176573201,8.85433652684059,6.57219276171178,7.30508763840219,10.8162555738245,14.8894782349204
"TSSK3",67.9928904775384,63.5181240802878,78.9148358637788,78.3922678862601,52.7387581476795,65.8390173716461,65.97258129846,69.1027201179839
"WFDC6",12.4698030578997,13.2822065692019,12.6499518023744,12.2058713121648,12.7559589689634,11.2839644207749,12.6032043955935,12.8950981766959
"TMEM266",49.2522858843763,70.1232774100055,69.7630862104926,57.9693126752945,80.2456130757786,65.22748328372,58.6159914809115,91.1488396272041
"CALML6",7.69475849851025,8.02546318525707,8.63451675379499,10.2537228048049,8.47606025122692,7.08252164670873,13.5954147155596,11.3737538585068
"NLRP5",11.164793455683,9.70198990905176,13.5294193355213,12.699645387154,10.5889758672798,12.3869351909151,12.174475504765,11.0404341872548
"CLEC4F",10.1338851955964,10.6890353323936,9.42308316164189,11.9102081440504,11.2753428723034,13.1063585136205,11.0103053136461,11.6136691728992
"WFDC9",7.95419409704769,7.73139929975531,9.34292456737107,10.6480790450096,7.50406797785973,8.71644958490451,10.7200896447377,11.9678789412626
"CALR3",8.17639202874768,6.91306030584114,6.92381309321295,7.73060768236054,8.75823402537301,7.78431956808338,7.600419377102,6.68235883582954
"C10orf25",26.4418845447669,26.9995973098508,24.5509249393031,36.7372314584324,22.7093658215087,35.6198798016861,28.1325272881075,37.6146510897411
"ZNF485",9.05023488735702,8.42435589098436,9.73863862853247,7.39947987891097,6.02811988917024,8.42219963657693,7.70937123580823,7.41750584216846
"MFSD6L",16.5026919194568,15.5357434504009,16.5359388880716,14.301869200221,18.0018036967844,16.005621679042,19.5483006880266,15.4599099623559
"MEGF11",138.044762018201,40.1569441049702,86.2662141125733,161.019695999986,103.507629585386,83.3235493300253,118.712107305839,24.0270167480026
"ESX1",8.56845097464129,9.11783155022353,8.18932347004533,9.1675823732051,8.51071813053186,9.68075456139847,9.55400682888646,8.84134317993505
"FAM167A-AS1",18.1631857923094,10.0677027053216,11.7271681209039,18.0403397660705,12.5562238826769,16.067735916901,12.7812197815225,14.4165832272719
"DNAJC5G",41.7315918475035,34.1016771057385,45.1676896821074,42.5222535138035,32.9517059697406,38.7163681349036,39.4643943606906,38.9716799794937
"WDR88",10.7735301617336,8.86951639131748,10.6012916073746,10.1833470466191,9.89299037932534,8.5588713121259,10.169257917765,8.34613218496373
"MBD3L2",14.1662993166622,11.3142672912939,10.8059592539289,16.2780475994099,12.3996772481219,12.7700051345023,13.4720523922866,15.7252216696508
"FAM46D",6.97786197157046,6.99871643032628,6.92239526520872,8.372871761229,6.74960039490569,6.44174799616321,7.83415319433512,6.75801751691206
"SERPINB11",7.48278949525521,7.40471618198694,7.38095894235916,7.94054720011893,7.15435543232909,7.59583681651709,6.98107161809389,7.57831887605909
"DSCR10",8.97459000880608,8.14445016988505,8.52486653776186,9.42992113958144,8.86900572619559,10.9225754013564,10.907492631523,10.3715776992264
"IRF6",8.3228738941713,9.56215708397219,13.2748552615063,11.4118442341265,8.47606025122692,9.74044085125335,9.53875854585652,10.7041049561708
"IDI2",18.1576972970727,14.7133511115448,17.0600814213425,21.9251061293939,16.556620762576,18.0715772996861,19.1752909494342,28.3837324970481
"SLAMF6",36.2587338214347,27.7477636684373,40.6106770904317,44.9734260260648,29.7237767186774,41.3856628703976,45.1563640136337,56.1252563417682
"GPBAR1",39.688807711984,38.3928225362457,39.5616213219303,39.8069255654177,33.3932043899679,40.3955601809423,42.7937429936079,45.0424817161038
"BRSK1",231.600996092352,186.829256094513,303.514892626243,220.470007463026,252.976188017607,245.292602375709,267.744127295809,219.383496441064
"CRB2",29.0622525248591,27.8191907517124,23.0959059865829,35.3389062839662,29.6584671861344,45.8772563919639,33.3013491774429,32.1185304669303
"SLC34A3",173.094830518657,152.000680043073,145.875034610188,151.554299623226,150.059980848235,159.156551622932,165.359249632336,196.378773833875
"WBP2NL",32.1198693169775,10.8049404583596,15.9074641705312,26.4009888558845,14.2170979469876,20.3657222235355,12.4064762929194,10.4481827978027
"TIGD4",9.56816094395672,7.1653613867559,8.13856073823549,8.82730272134229,8.45837423595505,7.48044808851436,8.30504910851151,7.24321802048321
"ART5",31.5798218830532,30.9683993954083,34.9786942854397,29.6273302239053,26.545558942266,30.5618802814696,35.0011178299176,39.0449947130466
"FAM71C",10.4085476929739,9.76419612782132,8.73636112178749,10.1005498016803,8.47096375734056,13.0035164605396,10.6442255187356,11.2702773571563
"NLRP11",8.01575818079823,7.28292836072731,8.75715288024314,12.6877167622492,7.17659435953342,8.08796247661113,8.78508389732542,12.3338234816332
"ATP6V1C2",6.82584919969634,6.38870355469791,6.75418887210768,7.15532039400883,5.82078139978422,8.04380106433217,6.67069690789078,6.52722506648122
"IQCD",32.2789701606674,32.0938579292022,28.8912965133011,38.3363780984625,27.5255467358671,31.295754563074,36.1398115946393,33.2244215792453
"SERPINA12",7.57486613956935,7.56115105692186,7.91606766327977,7.38187836114997,7.42428910642751,6.66045773109234,8.39108675174451,8.69537610248864
"NLRC4",8.94357296213674,11.1921674396198,9.36120180479082,10.7061337416763,8.68703158499564,9.45174851709486,9.88841180614236,11.1763306865137
"PRSS36",42.8758224079318,48.83927184742,39.7153829985496,48.9962116045324,47.1511320885005,40.0824569341168,60.7481924437037,52.7233561816431
"ZDHHC15",8.99976382360764,8.80916173960447,7.99917192606005,6.45055624714323,8.51668012426646,8.12746377117213,8.40754032877645,6.73991740096797
"NUDT9P1",7.79967858747905,9.41461805619617,11.168760984125,8.64447167361314,10.474457305892,8.56845374824703,9.88841180614236,11.7765085070923
"BTBD16",10.4197359561293,9.14243118845693,10.1123740441584,11.1594127264249,9.99787402555067,9.26416613166299,11.7788437228837,15.616764748566
"MIPOL1",5.441087458289,6.85207004791085,6.04785669894912,6.41522714518094,6.96855174552284,6.33377229907862,5.74499514629705,7.15626731606785
"ALMS1P1",17.3703442027479,12.8239481555492,17.7648741469695,15.4272921997203,13.9768308836098,14.6436248276016,20.0658864596796,22.7459199824157
"TRIML2",19.8597431057709,18.7853910195174,21.8939188000448,23.8784513541458,16.8221663736038,18.3117260776833,22.0288730099449,26.4719987219844
"ABCC13",9.00364263692211,12.1668966433378,11.5314630110285,13.5586481573264,10.2953363381166,10.4989863207131,11.4146029812058,9.83065360235402
"GTF2A1L",7.20488139848754,7.19649094659573,7.60441555271687,8.71935502449321,7.48252961107209,7.81580014963407,7.70937123580823,8.20576157400415
"MMP21",5.75960779274615,6.42494486490505,6.69557324534008,5.82569962676756,5.83992074067234,5.81451331243107,7.02473578705883,5.47149676117445
"TMEM190",33.3013491774429,38.2200967173548,36.2008575469722,42.6635428416154,28.5694707409785,37.1147781709723,47.4511096128951,48.9946124135111
"GAS2L2",81.6322291648069,54.9321348926413,61.1249728861121,89.315370839957,65.0559782567569,65.6712270606842,75.5262643746996,81.5460652628396
"KCNG4",15.1771363082946,12.9634399742158,14.591465863035,15.7968178335159,13.0242906487527,13.2553773787101,19.7696891935352,14.8396180863106
"PXT1",7.34116332836541,8.4586297097416,7.78999655349602,8.20171259199853,8.389673531673,8.36801842984031,8.60062410560594,8.99861109777511
"WFDC11",8.97459000880608,8.80368223663221,9.07131211697627,8.32438346646872,8.78559800625948,8.33179661724992,10.2636840556483,9.86062419056669
"SPRR4",124.501235770777,114.820017071722,132.357776805439,116.366154889495,94.7840158580451,125.232494622071,152.827923397161,162.28628871207
"HSH2D",16.6767953404882,19.4742319173415,21.0476472248365,19.6633102811854,16.4290030300584,22.4742074956226,22.7967006472242,21.763675700085
"ARHGAP5",135.782829027936,80.8306028790444,105.98679257917,89.2301719545792,58.5410746210598,51.974507271337,44.5756466259569,42.1751221552003
"SRCAP",18.1924548863114,21.6945511098061,20.6399706479926,23.0121459139494,19.2673933208915,20.7600589608282,21.2577433165814,36.0807027407058
"ZNF101",9.66965861100832,8.18938154556589,10.139584066588,10.2420758902564,9.76569615243023,9.12955680390171,8.2531864439188,8.59666744551574
"PHC3",10.4926397406002,9.12339473226613,11.3276260370326,9.31607684580433,9.71324318487084,9.22142565444967,10.8253804861528,9.45926587721281
"JMJD1C-AS1",14.9478845489098,15.2808721618114,13.574169611961,13.8354693194399,13.9356873582963,14.6436248276016,14.2312115956753,14.8773474335486
"PPP1R3B",20.7025706356421,15.7927896794399,15.7562950839196,20.3455287601214,16.6031240035363,19.75374900577,21.7914410541173,21.8401874868796
"RFX6",6.89784035422589,6.5545579907143,6.29020892049895,6.58087557953771,7.4739434452575,6.65739037380369,7.22981876214955,6.90429820208855
"DIRC1",5.98678024240372,6.17594546355467,6.15582479178738,6.38018258528975,6.38210098150012,6.49113228207542,6.99992413378642,5.92009007160061
"DNAJB7",6.25076374420358,6.31550606676106,6.36788593595784,6.41513761601616,6.27121640295097,5.90649394328984,6.00573299718633,7.02754784594772
"UCN3",23.3766376920088,20.6545391125609,30.0766698579405,23.9316242426694,20.0571910662519,22.712632252754,28.5787331232347,25.9162425312208
"TUBA3FP",54.9154380347475,41.0877688720887,54.0908422200793,45.6524180605873,33.4696266291847,53.4863011754012,44.885998114229,58.5391009607996
"CREG2",48.1235366668878,277.536053376647,84.7928535136323,24.6590271085423,318.628538096148,68.3023070879244,63.6014558344834,29.7769283759037
"RHOXF1",29.7624473861738,25.6643831089249,28.9172248063845,39.4854461637366,28.8608854663828,35.1168373655621,33.1592818093781,25.5466302733195
"DHH",15.7157171985784,14.4768145757941,13.3940088657708,15.4535554524763,12.7302265951488,14.4501319148891,19.3050415865976,17.100153909536
"C2orf15",8.19398989126528,9.29453659268216,8.11126866653945,8.06242588329968,9.05875816772516,9.52084107873681,8.01881122239529,8.47846111581999
"KCNH8",17.9108377937135,36.8849869470978,21.0108993747329,23.3326073964116,61.9115781289705,27.9328700242428,43.0396567487485,38.5986682319577
"SLCO6A1",7.20550490679185,8.05744650513687,7.80513123611749,7.5384129333537,6.63708030891859,7.76085609529939,8.54089723356216,9.65100727348608
"PP2D1",5.91544124013506,6.28634894058454,8.45919013863619,5.87389581142117,6.14088893275022,6.02876819044562,6.6607812341574,7.09949783575786
"ZNF625",10.3900355832183,12.0484907252101,11.01063108023,13.5586481573264,10.0273281631598,11.0927972885765,9.9255417587723,13.4892336018698
"ZNF563",28.4530322865298,27.3994905367034,27.6261164120349,27.5981835864982,24.5016511898772,28.0451811184678,23.307892294119,24.4424109231489
"GPRC6A",24.0043567801627,19.5211657348948,26.7704256516314,29.2858893383985,26.8710879145567,30.9720355909351,36.7359447694617,44.556680502957
"RAET1E",10.9057081749329,9.5375793578178,11.1753482364472,10.1593046667127,8.84651754969539,9.61182441415312,13.1716675218216,15.5221151570874
"ZNF417",6.65988626633541,6.80648043293766,7.7161274281415,6.5393173758534,7.30605005052044,8.33179661724992,7.13711823167907,5.91395163100401
"ZNF781",19.8390942066365,18.9220273559467,18.6076797844912,19.5321238784654,16.2098389480727,16.8368892212851,18.3052344193593,15.9380005504933
"SOCS4",7.36048175494363,7.96965324082902,8.84456698658068,7.63267334114103,6.85318320101037,7.07061035544387,7.25566300343273,7.65166305898214
"C8orf31",13.5122380982803,9.6771815963655,12.2396061147257,10.5413843748431,11.7709158237183,13.1273397028563,11.1663707282395,10.4479289280742
"WFIKKN1",40.2102058304567,40.643047829051,40.9478394452103,37.2201864162553,42.8513824058562,38.7706129051997,31.7434911406453,58.1545727280314
"NXNL2",5.87693890681804,5.44115853218885,5.87125565076732,5.88947121180155,6.2999865344111,5.90099869791611,6.17692077565591,7.80923239893218
"LINC00205",15.163054927474,12.4756841231489,14.8576761162574,17.284116007042,12.9788247305089,12.1193665459202,16.2714385442924,16.2008304720813
"FBXO39",7.08189927697809,6.99881001915573,8.24493174798279,8.12204052713312,6.85312954698159,7.66210153560356,7.8881452263523,7.56188817003509
"ZNF619",14.6509496739648,14.7400407421372,16.0747945316373,14.3923233724504,15.1723504679135,14.9120200730155,16.6306900745158,14.1336030432458
"FAM71D",9.34571002807609,8.70560320714813,9.30512987092602,8.458589805745,8.48846019548816,10.5620068055544,9.88841180614236,11.425293971296
"RAB42",28.3509531535919,28.1548042639709,29.9161276823203,32.7090010880953,36.8669395175649,32.4898001199984,33.7436570609583,28.7607449242246
"LINC00311",10.7518872326384,8.57677820999217,9.68105922884604,9.63822365361199,7.4914859693186,8.68504511425902,10.4455149645308,9.15506539317198
"MAGEB6",5.61053693477606,5.11122185302586,5.879765064479,5.70032773080774,5.71779575311234,5.41227504829361,5.69950300035736,5.41545296389959
"LMNTD1",21.083703345118,20.7494022686683,22.4803986295732,18.9542181062759,16.1423875499579,21.3037403191722,25.8317132478248,25.389918395775
"CD200R1",6.16504304621055,6.22425117768365,6.41223205169671,6.53439801920858,6.2375582056815,7.4535134810972,7.1325271873596,6.53484783943009
"AMER1",10.5181635946189,13.5901062660401,11.2979249488089,13.5535621339336,10.0686635163078,11.3157808995895,10.6915605099162,11.7552878714171
"NKX6-3",16.2966996339042,18.4705510732907,20.1291867886076,20.7364656760951,16.5276445457413,18.0715772996861,18.7042933286286,20.4521199310416
"TBATA",30.3524408682138,27.0367533125684,37.5796994892297,36.4409835196158,29.2865594709023,41.1184135570314,41.1638848162688,50.6881332848287
"EXOC3L2",185.534273708471,146.949881359545,227.34209543784,236.478105411991,157.814876946105,188.795440614981,236.911131274125,227.170513589664
"TNFRSF13C",44.3323645102145,38.3749287034979,54.9761412426734,51.3018415084877,44.2566686638086,53.9565239803761,51.8530259964889,63.7417495552624
"ANKRD30BP2",6.39738871386359,7.72179899398983,7.1774833861294,6.95915174565635,8.40371363754532,8.04397453234175,8.42959877728896,6.1350006213344
"KCNG3",7.9730973818172,8.49731736565205,8.85543138265415,8.60824797655127,8.00973168975844,8.66348680973235,9.63594575479395,9.16749879941412
"B4GALNT2",11.121856131059,12.2822751330653,11.1444571340176,14.2942840778696,11.2338839932728,10.3976252016449,10.4790398006998,11.8698823461803
"NETO1",7.61760055437603,10.0170814230376,8.27131508666879,6.30054147660301,11.626814370531,7.76085609529939,7.52006626167593,5.98004631902453
"FMR1NB",5.87693890681804,6.20428695875293,6.59484745968601,7.30549643639476,6.25237982027122,6.62145287041159,6.09151576618131,6.95288632195249
"GCSAML",7.55575189320482,6.97523661942494,7.54055433800624,6.49518960108515,7.24697053212728,6.44212202440251,7.42757011025805,7.47906394264832
"SIGLEC11",8.66679051702924,8.95874130387794,9.33622545980662,9.80714580601158,8.73704016081837,8.77738017991959,9.41108704672656,11.287691760745
"MAGEB18",5.99044650500287,6.06368030330796,5.82082651147254,6.46687975410453,5.22163125880946,5.61523746259598,6.0000303527652,5.70413402930409
"IFNL2",14.6417069738167,12.4064951086704,15.7915262148918,17.5240372095353,11.699520291998,16.2539172905218,15.1335280149108,18.8210971456892
"IFNL1",13.0229654785335,12.0736299162506,15.4658627599137,15.0172295912418,9.89595659861367,10.3795616649379,14.9608498745905,15.616764748566
"C4orf36",7.53302706646302,9.89179053458994,10.2744901794954,7.4357638865761,7.14943807142917,6.98631564093099,7.55945440324699,7.45983184762987
"TAB3",7.12550006238071,6.71871245661673,6.96930213348063,6.65909403954926,6.18962043491834,6.85334465490587,6.79395576521198,6.52529335136516
"GRK7",6.72034249838696,7.7817154123226,7.66210029283807,8.01349808346504,7.62333002593742,10.2242396246195,8.86862641963826,10.4358355061989
"MMEL1",34.9010825005475,29.8564252317895,34.8663602782489,37.1655105595804,43.506608024452,38.0456110869166,36.7976243508751,32.449909284852
"NLRP6",10.5783033236629,10.4672799572093,10.6408310149081,9.89190707464128,9.6128508596984,10.5601052379526,12.109191113508,17.8798673109216
"RTL3",20.7494022686683,17.6356238859709,25.720430498138,28.3947287520402,18.9266064477124,21.2046648131388,21.2769522467649,29.6936660965452
"ZIC5",17.8829802783186,15.2685088847909,18.0213434416494,23.8928755658845,12.4221889815918,14.2826769335436,13.0866701320533,27.2707463768105
"TEDDM1",8.02873938550368,7.80618997884876,7.71852857543736,7.51374234432258,7.59683820753207,7.98194705859608,8.13980246556964,8.24954156712805
"LOC149373",32.5303374051788,29.8812754870767,32.4391265450039,32.0714612791342,26.2028988660792,30.2995401655301,37.0888863686528,33.3037064006484
"CCDC27",23.2378343833664,23.3469267247297,22.410566701803,22.0455851131237,23.0929188300504,19.4544456430276,24.5595609016296,31.2713230925229
"CFAP161",8.13065097886241,6.13308772158197,7.31672424430882,7.63172309824978,7.11003685451225,7.71908756095137,7.39046297640739,7.24841906127315
"NEUROD2",105.856603317017,137.248762305885,171.847070276159,72.6919534779453,186.173657877472,161.376594825297,122.455349531023,62.9664468795953
"C5orf17",12.0512152190997,10.3036553205137,11.3357406557681,11.8204381254771,9.55456821391636,11.2454688920869,12.6567033891358,14.3723208235457
"LINC00208",14.6969256710095,12.5221810469556,13.2044134846485,13.4001883601584,10.8528022122185,13.8841356541071,17.4973948726818,20.2289721054806
"CBLL2",13.4549402664637,12.4830845694729,12.5299417181333,11.9760231983926,11.1251933926893,12.2610177105793,16.1020725596169,14.8396180863106
"SGCZ",7.03426189776209,6.5740254384763,7.37797078849454,10.3528595529178,6.96015840747982,7.32553074700424,8.55933517357002,6.10450163950064
"LINC02551",4.79114475394637,4.72897510513768,5.63966919805659,5.53141546481471,5.15299819449413,5.47725844239704,6.06927843752724,5.79476919501535
"WNT9B",10.7781329073242,12.106937438067,11.3140467793642,12.9208080772907,9.4887826000747,12.2464580353955,14.1920728576327,15.9296598074629
"LINC00471",8.5638224068708,7.95183484901423,7.12333065638945,7.32085464895267,8.11681840546858,8.17122170295694,8.22801983088467,7.57714626952057
"LOC439933",6.40299036922944,6.13691920099189,5.39268791205914,5.42057185554638,5.23166227851464,5.66274702516027,5.39862186194432,5.74877560351946
