"","GSM609354","GSM609355","GSM609356","GSM609357","GSM609346","GSM609347","GSM609348","GSM609349","GSM609350","GSM609351","GSM609352","GSM609353"
"CYTOR",87.0877741114017,88.7665344667917,111.093343609925,72.0017459813912,76.5209567043807,76.8332217226854,98.1116482055271,69.1932971661939,94.4942605112708,76.6761190524852,72.5721273939974,71.22930828076
"WFDC2",57.9237912811955,63.0687588882525,51.359449649569,44.1942407984457,70.8565746384225,49.403152141031,70.1538024370901,57.5645851308334,63.137098008996,62.6095365504491,42.1830146119361,48.2993010655171
"MAPK1",148.968731303241,97.5061386696062,122.446504125049,133.962295841047,83.7935453661829,162.714509180839,136.848567144318,123.247003447783,130.879923962262,192.088193665006,155.539401679292,170.819064060535
"ADAM32",30.298275386023,28.8494898783219,22.7344026274807,26.6378750578738,24.0492491216533,20.1929612655893,21.7179821000839,26.7042655299777,27.3396751152873,17.6443426917831,17.5500446395518,18.1535192905407
"PXK",56.9313456861339,61.7334756688916,70.6097479603787,71.8575968173796,111.455895170277,99.9404778498781,58.6208438608865,73.6922505038435,58.1802898602459,140.078698660718,43.5837923557206,85.7076519917316
"SLC46A1",135.527160919124,147.938548014877,161.78154247233,147.798161570756,132.696056896509,140.769883146181,111.398353024447,136.098411593451,100.735311190764,155.923856453839,151.249224180029,118.316956257608
"TIMD4",18.3382832712042,15.8004213810343,16.5562447499719,20.345542425396,19.4338858926567,16.8172595054366,17.3735807066788,16.4314135994223,15.4511028433423,18.712156243337,16.8582620653884,17.3940606554183
"ATP6V1E2",58.8064361784613,64.7572472652478,61.0975664190378,68.750686914314,80.1023618730082,60.8693580666271,48.6589353647032,59.8392037488442,76.8905548015793,78.5758792772029,62.9128589523877,60.1395425493539
"PIGX",169.566699311438,132.59756949873,102.251911997975,160.789296894129,180.99373639997,158.394267601282,147.78325665186,237.73814524244,137.162818805389,184.701109193557,176.375499212347,180.749632291053
"BEST4",11.0014902287372,14.7902268776104,13.1588716799832,12.1957069050194,14.5221277782782,16.7085071036578,12.3997001962626,15.563127832111,13.8343432383953,14.7194561397122,14.4011614875885,14.846511456741
"CORO6",65.4829879262814,84.0979949331184,39.9285934095548,38.0186294902045,57.9970578870655,40.4774410548402,59.6898473851176,50.513653142676,47.2829526722163,51.7868923466926,43.7489352096757,41.6273070590447
"RAX2",120.826634337449,149.104150895742,104.920814778434,111.407405282716,193.247830154978,112.338609065042,117.754399083461,127.721900833221,107.519054999148,115.136885485894,109.735985562835,116.178746499748
"CATSPER1",69.7062523353257,62.8450497424684,95.4287237354887,97.9623301902704,82.6816584563243,99.4075233014129,75.9333261700071,80.4030588971199,90.7636364053104,160.263789158576,96.0227586601246,92.8210183850993
