"","GSM160404","GSM160424","GSM160427","GSM160428","GSM160429","GSM160353","GSM160358","GSM160362","GSM160391","GSM160405"
"ERH",3879.67944180685,3744.58972836369,3092.46684654391,3499.31186782596,3688.16242982854,3870.87944180684,4652.30279446549,4207.30857760777,3798.10216719188,3716.37651299302
"ABCF1",793.08056154805,752.8745666345,858.533299886148,597.620862003686,681.523800519327,841.361061477757,945.197207010762,964.011757088141,810.682973319414,791.380346159696
"DAD1",2129.80595516095,2426.55989155429,2475.48822952664,2012.56111080708,2310.10291276166,2327.15722812241,3179.12553696909,2199.26166936641,2144.33143654357,2622.30031332926
"KAT7",526.565859621474,237.18642872343,368.279441806844,306.798743740057,369.445373478155,402.379441806843,573.316395980593,426.43082785467,374.399584940119,509.284398166983
"ZNF146",984.770859891738,1038.04242088018,980.47141430525,1001.85840004317,1069.12923027656,1155.59645866598,1368.52393903451,1090.34634463963,1020.48659552334,910.404458218944
"SART1",189.824293449622,410.038487735797,395.056300928223,226.953624718441,408.279441806842,278.701611544243,376.120293319104,306.901534322688,240.302575672127,164.60252278327
"ILF2",735.072328022312,617.270947135371,721.948111725196,596.784703308557,567.89044534813,784.853385946334,1284.50050461912,957.047002083532,779.80841328755,824.518390805865
"SPAG7",856.787874602609,922.854076463988,1099.68689718387,1354.90551322402,917.903715553158,867.979441806842,934.190361761965,766.768884899174,769.164161541646,850.058056167799
"ZPR1",231.870217896886,402.355934541288,295.579441832133,244.879455925953,316.479441808264,228.355507969374,298.411539288587,284.779441911316,188.082964950964,185.691123735021
"TAF10",952.780707554607,1579.33727067058,1952.22353657637,1622.57944180684,1834.01882730746,1403.2337957444,1775.79184453443,1976.19008032542,1363.8508944707,1033.3362957519
"C1D",583.654372523924,420.728658361609,435.440554299606,524.231357919167,393.026725210329,422.531190773895,649.379441806843,386.810123506659,464.258605877327,677.42531063278
"RHOA",4713.89420461694,2438.43207104736,2900.81706558603,2511.65225993837,2670.91240538898,4671.53708051839,4718.14264103644,3007.67363794188,3443.58230123981,4364.60939054739
"RPS24",14020.2596455561,15639.1140647051,14685.4521655067,16429.0058881734,15743.458387824,14258.8586713467,12019.2760089816,14695.1794418068,14636.2794418068,14314.1073225306
"RPL30",12323.7794418069,13111.7144373149,12647.7794418069,14126.4466457776,13067.5094269443,11612.2949207037,12915.0550629854,11853.9794418069,12403.2503394298,11782.6424190366
"NPM1",7329.72301388208,7769.37390159318,6950.18661003289,7264.66031733492,7317.98853361632,7351.75833901065,7715.42944180685,6947.31859011656,7192.50037202248,6921.31262850012
"IK",834.274448117819,1319.81932158405,1103.28256242286,1150.37944180684,1289.78825032349,996.914430024434,951.671678343237,848.836976580538,911.779441806842,868.163903440226
"SMNDC1",895.574742752141,817.206395006627,465.507488576576,627.120909331818,647.17329471075,511.916531875434,487.979918130643,674.456441044804,613.467042787763,706.689877599021
"ATP6V0B",1100.64343051618,830.576877206912,1221.00363528088,1262.93029720217,797.048778074798,1700.77944180684,2184.17944180684,1793.79136831051,1214.75773768908,1512.13517603704
"RPS7",8090.59198253197,9415.85734123277,9360.5047594441,11360.418366546,9836.60904918041,9545.25148673321,9228.51987831148,8603.13825663142,9228.51987831148,8874.27426445093
