"","diseases","controls"
"GSM215051",0,1
"GSM215052",0,1
"GSM215053",0,1
"GSM215054",0,1
"GSM215055",0,1
"GSM215056",0,1
"GSM215057",0,1
"GSM215058",0,1
"GSM215059",0,1
"GSM215060",0,1
"GSM215061",0,1
"GSM215062",0,1
"GSM215063",0,1
"GSM215064",0,1
"GSM215065",0,1
"GSM215066",0,1
"GSM215067",0,1
"GSM215068",0,1
"GSM215069",0,1
"GSM215070",0,1
"GSM215071",0,1
"GSM215072",0,1
"GSM215073",0,1
"GSM215074",0,1
"GSM215075",0,1
"GSM215076",0,1
"GSM215077",0,1
"GSM215078",0,1
"GSM215079",0,1
"GSM215080",0,1
"GSM215081",0,1
"GSM215082",0,1
"GSM215083",1,0
"GSM215084",1,0
"GSM215085",1,0
"GSM215086",1,0
"GSM215087",1,0
"GSM215088",1,0
"GSM215089",1,0
"GSM215090",1,0
"GSM215091",1,0
"GSM215092",1,0
"GSM215093",1,0
"GSM215094",1,0
"GSM215095",1,0
"GSM215096",1,0
"GSM215097",1,0
"GSM215098",1,0
"GSM215099",1,0
"GSM215100",1,0
"GSM215101",1,0
"GSM215102",1,0
"GSM215103",1,0
"GSM215104",1,0
"GSM215105",1,0
"GSM215106",1,0
"GSM215107",1,0
"GSM215108",1,0
"GSM215109",1,0
"GSM215110",1,0
"GSM215111",1,0
"GSM215112",1,0
"GSM215113",1,0
"GSM215114",1,0
